name,Bezhta_B,DAvar,DBezhta,DGeorgian,DHinuq,DRussian,DTsez,DTurk,Kidero_Ai,Kidero_Akh,Kidero_I
the watermelon,1,1,NA,2,1,1,1,1,1,1,1
the barrel,4,1,NA,2,3,4,4,4 5,4,4,6
the bucket,1,1,NA,1,1,1,1 2,1 3,1,1,1
the pea,4,1,NA,2,3,4,3,5,4,4,4
the pear,2,1 2,NA,3,2,4,2,5,2,2,2
the melon,2,1,NA,2,2,3,NA,1 4 5,3,3,3
the cabbage,3,1,NA,2,3,3,3,3 4,3,3,3
the carrot,1,1,NA,2,1,3,1,4 5,3,1,3
the rust,2,1,NA,2,3,4,5,6 7 8,5,5,5
the fairy tale,3,1,NA,2,1 3,4,5,6 7 8,3,3,3
the plum,5,1,NA,2,1,3,1 2,1 4,1,NA,6
the herd,8,1,NA,2,1 3,4,1,5 6 7,9,9,1
the rosary,3,NA,NA,1,2 3,4,3,5 6 7,3,3,3
the whip,8,1,NA,2,3,4,3,5 6 7,3,NA,3
the sugar,1,1,1,1,1,1,2,1 3,3,1 2,1
the soap,1,1,1,1,1,2,1,1,1,1,1
the wine,3,1 2,3,3,1 3,4,4,1 5 6,4,1,1
the table,1,1,1,2,1,1,1,1 3 4,1,1,1
the paper,4,1,2,1,1,3,1,1,1,1,1
the shop/store,2,1,2,3,4,4,2,1 3,4,1 5,4
the school,1,1,1,3,1 2,1,1 2,1 2,1,1,1
the mule,6,1,1,2,1,3,4,5,NA,4,4
the oats,NA,1,NA,2,NA,3,4,5 6 7,8,8,8
the pencil,1,1,NA,2,1,3,1,3,1,1,1
the turnip,4,1,NA,1,NA,2,NA,2 3,NA,NA,NA
the tobacco,1,1,1,1,1,1,1,1 2,1,1,1
the towel,1,1 2,3,4,1,1,1,5 6,1,1,1
the pepper,7,1 2,NA,1,1,2,3,4 5 6 7,2,8,9
the lion,6,1,1,2,1,3,NA,4 5,NA,3,NA
the week,1,1,1,2,1,3,1,4 5,3,NA,1
the candle,NA,1 2,3,3,3,4,3,2 5 6,4,4,4
the glass,1,1 2,1,3,1,4,1,2,1,1,1
the rice,1,1,1,1,2,3,NA,4,2,2,2
the cup,7,1 2,NA,3,4,5,6,3 5,8,9,10
the bottle,1,1,1,2,1,3,1,1,1,1,1
the pipe,NA,1 2,NA,3,NA,3,NA,4 5,NA,6,6
the pocket,2,1 2,2,3,1 4,5,2 3,2 3,3,3,3
the colour/color,1,1,1,2,1,3,1,4 5 6 7,1,1,1
the gun,2 5,1,NA,NA,2,3,2,1 4,6,1,2
the copper,2,1,2,3,1 2,4,1 2,2 5 6,7,NA,7
the gold,1,1,1,2,1,3,1,4 5,1,1,1
the ball,6,1,NA,2,1 3,4,5,5,7,7,NA
the window,8,1,2,3,4,5,4,3 6 7,4,4,4
the trousers,5,1,NA,2,3,4,3,2 5,6,3,3
the chain,8,1 2,1,3,4,5,6 7,2,9,9,9
the fork,3,1,NA,2,NA,2,NA,1 2,4,5,5
the reindeer/caribou,2,1,2,3,2 4,5,6,7 8,2,NA,2
the time,1,1 2 3,2,4,1 3 5,6,1 2,7,1,1,1
the money,2,1,2,3,4,5,4,3 6,4,4,4
the soup,1,1,1,2,1 3,4,1,1,1,1,1
the lead,3,1,NA,2,3,4,3,5,NA,NA,3
the scythe,7,1,2,3,1 4,5,1,6,1 8,1,1
the sickle,5,1 2,NA,NA,NA,3,NA,4,6,6,6
the paint,NA,1 2,3,4,1 5,3,5,6 7 8,3,NA,5
the prison,1,1,1,2,1,3,1,1 4 5,1,1,1
the silver,9,1,2,3,4 5,6,5,7 8,NA,1,NA
the lock,4,1 2 3,NA,2,NA,4,NA,1 2,5,6,6
the mortar(2),4,1,NA,NA,1,2,1,3 4,5,1,1
the cross,1,1,1,NA,1,2,1,1 3,1,1,5
the fist,7,1,NA,2,3,4,3,5 6,7,7,7
the joke,1,1,NA,2,1 3 4 5,6,1,1 6 7,1,1,1
the spade,5,1 2,3,4,5,6,5,7 8 9,5,5,5
the scissors or shears,2,1,2,3,4,5,6,7,6,6,6
the blanket,1,1 2,1,3,1 4,2,2 4,1 5,4,4,4
the fermented drink,5,1,1,NA,1 2,3,2,3 4,2,6,2
the goose,4,1,2,2,2,3,2,1,3,NA,2
the sea,1,1,1,2,1,3,1,4,3,1,3
the garden,2,1,2,2,3,4,3,2,4,4,5
the duck,7,1,2,2,2,3,4,5 6,3,3,8
the arch,4,1 2,1,3,1,4,1,3 5,4,1,1
the wheel,4,1 2 3,4,5,6,7,8,9 10,8,8,8
the grape,2,1,2,3,2,5,2,6,2,2,2
the hammer,2,1,2,3,1,4,1,3,1,1,1
the clan,1 3,1,NA,2,1 3 4 5,1,3,1,1 3 6,1 3,1 3
the poison,1,1,1,2,1,3,4,1,1,1,1
the boundary,1,1,NA,2,1 3 4 5,5,1,6 7,1,1,1
the sledge/sled,4,1,NA,2,1,3,1,1,1,1,1
the price,1,1 2 3,1,4,1 2 5,6,1,1 2 5,1,1,1
the saw,2,1,2,3,4,5,4,6 7,4,4,4
the medicine,1,1 2,1,3,1 2,4,1,2 5,1,1,1
the family,5,1,1,2,3 4 5,5,7,8 9,4,10,4
the bridge,2,1,2,3,4,5,4 6,7,4,4,4
the friend,3,1,NA,2,1 3 4 5,6,NA,7 8 9,3,3,3
the nail,2,1,2,NA,3,4,3,5 6 7,3,3,3
the fork(2)/pitchfork,4,NA,NA,1,NA,2,NA,2 3,5,5,5
the tongs,1,1,NA,2,1 3,4,1,2 5,1,1,1
the pumpkin or squash,1,1,NA,NA,NA,2,NA,1,1,2,1
the spoon,4,1 2 3,4,4,4 5,6,3,7 8,4,4,4
the mirror,2,1,2,3,2,4,2,5 6,2,2,2
the drum,2,1,2,3,4,5,4,5 6,4,4,4
the maize/corn,2,1,2,NA,2,3,2,4 5,2,3,2
the felt,NA,1,NA,2,NA,3,NA,4 5,6,NA,7
the slave,5,1,1,2,1 3 4,5,NA,6,1,NA,NA
the needle(1),7,1,NA,2,3,4,5,6,5,5,5
the corpse,1,1 2,1,3,1 4,5,6,7 8 9,1,10,1
the work,1,1,1,2,1 3 4 5,6,1,3,1,1,1
the flour,5,1 2,NA,3,1 2,4,5,6,5,5,5
the axe/ax,5,1,2,3,2 4,5,6,7,5,5,5
the cat,1,1 2 3,NA,4,1,5,1,6,1,1,1
the wall,2,1,2,3,4,5,1,6 7 8,1,1,1
the cattle,2,1 2,2,NA,2,3,2,4 5 6,7,8,9
the debt,1,1 2 3 4 5,NA,6,NA,7,NA,2,1,1,5
the pig,1,1,1,2,1,3,1,4 5,1,1,1
the cock/rooster,2,1,2,2,3,4,2,5 6,2,2,2
the belt,11,1 2 3,NA,4,5 6 7 8,9,7,10,12,5,5
the thread,9,1 2,NA,3,4,5,6,7 8,10,10,10
the iron,2,1,2,3,4,5,4,6,4,4,4
the wolf,1,1,1,NA,1,2,1,3 4,1,1,1
the widow,1,1,1,2,1,3,1,4,NA,1,1
the mushroom,2,1,2,3,2,4,5 2 7,8 9,2,2,2
the voice,1,1,2,3,4 5 6,7,1,6 8 9,1,1,1
the guest,1,1,1,2,3,4,3,5,3,3,3
the beak,2,1,2,3,2,4,5,6 7,8,9,5
the wedding,1,1,1,2,1 3 4,5,1,6,1,1,1
the spider,2,1,2,3,4 5,6,4,7 8,9,NA,4
the flower,8,1,2,3,1 4,5,4,6 7,4,4,4
the scar,NA,1,NA,2,NA,3,NA,4 5,6,NA,1
the dust,2,1,2,NA,2 4 5,6,7 8 9,10 11,7,7,1
the lizard,2,1,2,3,4,5,4,6 7,4,4,4
the thing,7,1 2,NA,3,NA,4,NA,5 6,8,8,8
the boar,2,1,NA,NA,NA,1,NA,1,2,2,2
the gate,6,NA,NA,1,2,3,2,2 5 6,3,3,NA
the door or gate,4,1 2,NA,3,4,5,4,6 7,4,4,4
the orphan,1,1 2,1,3,1 2,4,1,2 5,1,1,1
the frog,2,1,2,3,4,5,6,7 8,6,6,6
the ring,2,1,2,3,4,5,6,7 8 9,6,5,6
the song,1,1,1,2,1 3,4,1,5 6 7,1,1,1
the bat,NA,1 2,3,4,5,6,7,8 9 10,7,NA,7
the earring,9,1,NA,2,3,4,5,6 7 8,5,5,5
the neighbour,1,1 2,1,3,1,4,1,5 6,1,1,1
the bracelet,2,1,2,3,2,4,2,5 6,4,4,7
the clothing or clothes,2,1,2,3,1 4 5,6,7,8 9 10,7,7,7
the cave,2,1,2,3,4,5,4,6 7,NA,5,4
the body,9,1 2,2,3,2 4 5,6,7,2 8,,5,5
the year,3,1 2,3,4,5,6,7,8,7,7,7
the broom,2,1,2,3,4,5,2,6 7,2,2,2
the thief,1,1,1,2,1 3 4 5,6,3,7 8,1,1,1
the beard,2,1,2,3,2 4 5,6,4,7,5,4,4
the comb,3,1,NA,2,3,4,3,5 6,3,3,3
the lightning,2,1,2,3,4,5,4,6 7,4,4,8
the wasp,2,1,2,3,4,5,NA,6 7,8,9,10
the bow,6,1 2,NA,NA,NA,3,NA,4 5,NA,7,7
the owl,1,1,1,2,1 2,3,4,5 6 7,4,4,4
the rope,13,1 2 3,NA,4,5 6 7 8,9,6,10 11 12,14,14,14
the nettle,1,1,1,2,1,3,1,4,1,1,1
the fish,2,1,2,3,4,5,4,6,4,4,4
the hare,2,1,2,3,4,5,4,6  7,4,4,4
the butterfly,2,1,2,3,2,4,5,6  7,8,9,8
the footprint,7,1,NA,2,3,4,3,5  6,3,3,3
the nest,2,1,2,3,4,5,4,6,7,4,4
the worm,11,1  2  3  4,NA,5,6  7  3  1,8,9,10,12,12,12
the ant,2,1,2,3,4,5,4,5,4,4,4
the tail,2,1,2,3,2,4,2,5,2,2,2
the wing,5,1,NA,2,NA,3,NA,4,6,6,6
the shade or shadow,2,1,2,3,4,5,4,5,4,4,4
the grasshopper,2,1,2,3,2,3,2,4,2,2,2
the beeswax,NA,1,NA,2,1,3,1,4  5,1,NA,1
the sand,8,1,NA,2,3,4,5,6  7,4,4,4
the blister,3,1  2,3,4,5  6,7,8,9  10,NA,NA,7
the egg,2,1,2,3,4,5,6,7,6,6,6
the lip,2,1,2,3,4,5,6,7  8,4,6,4
the firewood,6,1,NA,2,NA,3,NA,4  5,7,7,7
the partridge,8,1,NA,2,3,4,5,6  7,NA,9,5
the sleeve,7,1,NA,2,3 4,5,5,1 6,5,NA,5