russian translation,name,Persian,Arabic,Failures Farsi,Rutul Dict,Rutul Rutul Vera,Ikhrek Rutul Jariyat,Ikhrek Rutul Aishe Word,Ikhrek Rutul Zijawudin 77 Word,Ikhrek Rutul Salimat 56 Word,Kina Rutul Nurulla,Kina Rutul Mevletdin 70 word,Kina Rutul Magomed-Shapi 67yo word,Kiche Rutul Serazhudin Word,Kiche Rutul Sejfulla Word,Azer,Kumyk,Lezgian,Khlut Alimurad,Helmets Abduragim,Helmets Tarlan,Helmets Murad,Khlut Alimurad,Khlut Arsen,Khlut Sanidir,Khlut Islam,Russian,Tsez_dict,Bezhta_dict,Bezhta Batyr,Kidero Aishat,Kidero Ibragim,Kidero Akhmed,Hinuq_dict,Karata,Karata_Zagra,Karata_Zagra_da,Karata_Umarkhadzhi,Karata_Umarkhadzhi_da,Karata_Khajbula,Karata_Khajbula_da,Karata_Ktoto,Karata_Ktoto_da,Tukita_MagMag,Tukita_MagMag_da,Tadmagitl_Khadzhimurat,Tadmagitl_Khadzhimurat_da,Tadmagitl_Nazirbek,Tadmagitl_Nazirbek_da,Tadmagitl_Nadzhawat,Tadmagitl_Nadzhawat_da,Tadmagitl_Abdurakhman,Tadmagitl_Abdurakhman_da,Karata_Gazijav,Karata_Gazijav_da,Bagvalal,Bagvalal_Gusejn,Bagvalal_Gusejn_da,Bagvalal_Muminat,Bagvalal_Muminat_da,Bagvalal_Muslim,Bagvalal_Muslim_da,Bagvalal_nazhavat,Bagvalal_nazhavat_da
арбуз,the watermelon,"hendevāneh, tarbuz, bettikh",batteekh (battekh ahmar),"1. транскрипция не отражает различие между двумя ""а""",0,хъарпуз,хъарпыз,хъарпыз,хъарпыз,хъарпуз,хъарпыз,хъарпыз,хъарпыз,хъарпыз,хъарпыз,гарпыз,харбуз,ХАЛИ,хъарпуз,хъарпуз,хъарпыз,хъарпыз,хъарпуз,"хъарпуз, хали",хъарпуз,хъарпуз,арбуз,къарпуз,0,хъарпуз,арбуз,хъарпуз,къарпуз,къарпуз,хъармуз,хъармуз,,да,хъармуз,да,хъармуз,да,хъармуз,,,,,хъапузи,,да,хъапузи,,,,,хъарбуз,хъарпуз,,да,хъарпуз,хъарбуз,,хъарпуз,
бочка,the barrel," boshkeh, chelik, barmil, toop,  khomreh, zarbi, tagh, looleh",bermeel,"2. пропущены очень распространенные переводы, присутствуют редкие слова",0,пышк1а,бычка,пычк1а,пычка,пучка,пушк1а,пушк1а,бочка,бочка,бочка,данышмаг,RUS,ЧАМЧАХ,гуд,бошк1а,пошк1а,бошк1а,"фляг, гуд",бушка,бушка,бак,бочка,бочка,0,бочка,бочка,коцол1и,бочка,папатIу,пошка,бочка,,да,бочка,да,бочка,да,бочка,бочка,,,,рус,,рагва,,,,,,"чирмá / чирми, бочка",,,да,"чирмá / чирми, бочка",да,"чирмá / чирми, бочка",да,"чирмá / чирми, бочка"
ведро,the bucket,"dalv, dool, doolcheh",satl,"3. 3 четверти слов здесь - арабизмы, которые никто не использует, вообще никто",0,педре,ведро,ведре,ведро,ведре,ведро,ведро,ведро,ведро,ведро,ведрə,"педире, челек",ВЕДРЕ,ВЕДРЕ,ведро,ведра,ведра,ведро,ведро,ведро,ведро,ведро,"босоно (деревянное), ведра",0,ведра,ведро,ведро,ведро,ведро,бедера,бедера,,да,бедера,да,бедера,да,бедера,пидра,,бидира,,бидира,,да,бидира,,,,,бидира,бедра,,бедера,,бедра,,ведро,
горох,the pea,"nokhod, hemmes (rarely), khollar (green), dagh, mashi,  chi","bisilleh, hummus",,хар,хар,хар,гарох,к1ах,гарох,"к1ах - черный, хар - зеленый",хар,хар,к1ах,хар,нохуд,нохут,НАХУТI,хар,гарох,гарох,гарох,хар,хар,хар,хар,горох,алукIани гьил горох (букв. белые бобы),0,гьоло?,гарох,гарох,гарох,"гьилу, алдийу гьилу",х1але,х1але (черные бобы; гороха нет),,гарох,,,,"гарох, х1але",,гьац1а гьале,,гьали,,да,гьали,,,горох,,,,гьал,"горох, гьал, еще что-то было",,гарух,,гьаль,,гьаль,
груша,the pear,"golābee, amrood, mata'","ijaasa, kummathraya",,0,хы1р,хы1р,хы1р,хы1р,хы1р,хы1р,хы1р,хы1р,хы1р,хы1р,армуд,гьармут,ЧУЬХВЕР,кьал,чуьхарья,чухер,чуьхарья,кьал,к1ал,к1ал,,груша,гени,0,гени,гени,гени,гени,гени,"гьиНгьиН, х1амагъаНкъ",первое,,первое,,первое,,гьиНгьиН,,гени,,махахо,,да,махахо,,,да,махахо,,,гьиНгьа,махуха,,да,махуха,да,махуха,да,махуха
дыня,the melon,"abkhost, bettikh, -bozeh, -moozeh, shammameh, talebi, ka-lak (unripe), kombezeh (unripe), garmak (early)",batteekh (batteekh asfar),,къавын,къавум,къавум,къавым,кавын,кавым,къавум,къавум,къавум,къавун,къавум,говун; jемиш,пастан,КЪАВУМ; ГАТУН ХАЛИ,КЪАВУМ,къавум,къавум,къавым,къавум,къавум,къавум,дыня,дыня,0,0,неси,дыня,дыня,дыня,неси,паст1ан,паст1ан,,да,паст1ан,хъабахъ (ав) паст1ан,,п,хъабахъ (ав) паст1ан,паст1ан,,паст1а,,да,паст1а,,,подтвердил,,,,патIих,"дыня, паст1ан (ав)",,дыня,,паст1ан может быть,,дыня,
капуста (кочанная),the cabbage,"kalam, ostad-alamee, kahoo, ",kurunb,,келем,келем,калам,калам,калам,калам,калям,калям,калям,келем,келем,кəлəм/käläm,къапуста,КЕЛЕМ,КЕЛЕМ,калям,калям,калям,келем,келям,келам,келам,капуста (кочанная),капуста,0,капуста,капуста,капуста,капуста,капуста,0,капуста,,да,капуста,хъапуск1а,,"да, хъапуск1а",хъапуск1а,капуста,,хъапуста,,да,хъапуста,,,да,хъапуста,,,КАПУСТА,капуста,,да,капуста,да,капуста,да,капуста
морковь,the carrot,"zardak, shagha-gol (wild), gazar",jazar,,йыхыIнь,абадур,абаджур,абаджур,абаджур,абаджур,абадур,абадур,абадур,абадур,абадур,yerkökü,чита,ГАЗАР,ГАЗАР,к1абажур,к1абажур,к1абажур,газар,газар,газар,,морковь,ламадур,0,ламадур,мокровь,марков,ламадур,ламадур,ламат1ур,мамат1ур,,мамат1уру,,мамат1ур,,мамат1уру,,ламат1ур,,экье,,да,экье,,,,,,,гьекьéм,ламатур,,,,да,ламатур,ламадур,
ржавчина,the rust,"zang, anar, zangar",sada',,0,мы1хъ,мы1хъ,мы1хъ,му1хъ,0,мы1хъ,мы1хъ,мы1хъ,мы1хъ,мы1хъ,пас; боз лəкə,тот,МУЬРХЪ,михъ,пас,пас,пас,михъ,мехъ,михъ,,ржавчина,хIашри,0,женгъи,х1а1шри,х1ашра,х1а1шри,хешла // хешра,0,кьабчур,,да,кьабчур,п,кьабчур,кьарччу,,кьаг1и,,кьабу,,да,кьабу,,,,,,,кьваНй,кьванй,,,,кьваНй,,да,кьваНй
сказка,the fairy tale,"afsāneh, qesseh, angaresh, -soorat","qessa, hikaya, haddouta",,0,махв,мехв,мехв,мехв,мехв,ахъайид,ихтилат,ахъид?,махв,ма1хв,nağıl; yalan;,ёмакъ,МАХ,МАХ,хабар,хабар,хьабар,мах,мах,"мах, хабар",мах,сказка,эмаду,0,акичарле,маргьа,маргьа,маргьа,"акичIал, маргьа",мугьа,да,мугьа,да,мугьа,да,мугьа,да,мугьа,маргьо,,муха,,да,муха,,,,,,,МУГЬА,маргьва,,маргьо,,маргъва,,маргьо,
слива,the plum,"alang, allocheh, aloozard, zalzanak, gowjeh, nesbat, noghl, noghlee","barqooqa, khokha, ijasa",,0,шугьди,гавали,гывели,гыгели,кавали,гывыли,кавали,кавали,шегьди,пылибыр?,ҝавалы,кокан,ХВАТ,ХВАТ,гавали,гавали,гавали,хот,хот,хват,хут,слива,"кукум, килав",0,келеври,кукум,джага,0,"кукум, кукам",каНкула,канкула,,да,канкула,п,канкула,п,канкула,кукун,,коквани,,кваквани,,,,,,,,"гIурýскваНкул, квáНкул",,,,,канкул,,да,канкул
стадо (овец),the herd,"bagher (of oxen), khook-ban (swine), -cheran (swine), rameh, padeh (oxen), seeleh, faseeleh, galleh, gowbareh","ra'iya, qatee', baqer (cattle), qoot (sheep)",,суьрю,нехир,хы1б,ятах,ятах,нехир,суьруь,суьруь,суьруь,нехир,ирхи/илхи,сүрү; нахыр,"сирив, йылкъы, тувар, гезив (гьайванлар)",ИЛХИ; НЕХИР; СУЬРУЬ (овец); КЪИФЛЕ; РАМАГ,"суьруь, нехир",нахир,баги,"нахир, сури - овец","нехир, шуьруь",нехир,нехир,суьри,стадо (овец),рехъен,0,воц1и,бекь,рехъен,бекь,"гури, рехъен",рехьет1,риъвар,,риъвар,,риъвар,,да,риъвар,"ихьва, ихьва-хъир",,ракъва,,подтвердил,ракъва,,,,,,,РЕХЬÉТI,"рехъен (ав), руар подтвердил",,руар,,руар,,да,руар
четки,the rosary,"tasbeeh, sobha","misbaha, sobha",,супгьаIнбыр,0,ц1алабыр,супгъан,супгъан,супгъан,таспыгъ,"гай, супгъан",таспягъ,супгъанбыр,супгъанбыр,təsbeh,"зувгьанлар, тасбигьлер",ТЕСПЯГЬ,ТЕСПЯГЬ,тапсыгъ,таспыгъ,тапсыгъ,теспягь,теспягь,тесаягь,теспягь,четки,САЛАВÁТ,0,салават,салават,салават,салават,"агъвебе, салават",салатабди,салатди,,салатди,,да,салатди,"салатди, ч1умал (ав)",,саламатиби,,,,шалата,,,,,,,,САЛÇТ,салаг1ат,,салаг1ат,,саляг1ат,,салаг1ат,
"кнут, хлыст (для лошади)",the whip,"tazianeh, dastaneh, dom, kharzan, shallagh, ghamchee","qamshah, sawt",,къамчи,т1ул,къамчи,кьамчи,къамчи,анчи,къамчи,къамчи,къамчи,0,къамчи,чубуг; гамчы; гырманҹä,къамучу,"КЪАМЧИ, ТIВАЛ",КЪАМЧИ,шунк,чунк1,чунк1ь,къамчи,къамчи,къамчи,къамчи,"кнут, хлыст (для лошади)",чурутI,0,къинуч1,чурут1в,чурут,0,чурукь,0,жваркьел,,да,жваркьел,жваркье,,да,жваркье,жоркьил,,,,чикье,,,,да,чикье,,,ЖВАРКЬИМ,жваркьим,,да,жваркьим,не знаю,,да,не знаю
сахар,the sugar,"qand, abgeeneh, zad, shakar, shakkar",sukkar,,шагар,шагар,шеккер,шеккер,шекер,шекер,шагар,шагар,шагар,шагар,шагар,шəкəр; гəнд,шекер,НАБАТ,шекер,шакар,шакар,шакар,шекер,шакар,шакар,песук,сахар,писук,čakar,чакар,писук,чакар,"чакар, писок",чакар,чакар,да,чакар,да,чакар,да,чакар,да,чакар,чакар,,чака,,да,чака,,,,,,,чакар,"чакар подтвердил, писук",,,,чекер,,чекер,
мыло,the soap,saboon,saboon,,0,сабун,сабын,сабын,сабын,сапун,сабын,сабын,сабын,сабын,сабын,сабун,сапун,ЗАПУН,сапун,сапынь,сап1ань,сап1ынь,запун,запун,запун,запун,мыло,сопIон,sap’uni,сап1уни,соп1он,сап1он,соп1он,сапIуни,ссапун,сапун,,да,сапун,да,сапун,да,сапун,да,сапун,сагьу,,да,сагьу,,,,,,,САПУН,сапун,,,,да,сапун,да,сапун
вино,the wine,"aveezeh, badeh, mey",khamr,,чахыр,чахыр,чахыр,чахыр,чахыр,чахыр,чахыр,чахыр,чахыр,чахыр,чахыр,шəраб; чахыр,"чагъыр (виноградное), гьаракъы (самогон)",RUS,чахыр,чахыр,чахыр,чахыр,чахыр,чахыр,чахур,чахур,вино,вино,ɣino,гъвино,вино,чагъыр,чагъы1р,"жа, гъвино",0,вино,,ч1агьир аварское,,,,вино,,вино,,,,вино,,,,чагъи,,,,Čарóбодоб,мед,,вино,,"вино, ч1аг1а",,вино,
стол,the table,"miz, jadval, khan","maktab (desk), tawilah (any table)",,устIул,уст1ул,"ист1ол, иск1ам",иск1ам,стол/искам,искам,"уст1ул, иск1ам",искам,стол,тев,стол,маса; RUS,стол,RUS,RUS,стол,стол,истол,стул,стул,устул,устул,стол,истовли,ist’oli,ист1оли,стол,стол,стол,истоли,уст1ул,уст1ул,,да,уст1ул,да,уст1ул,да,уст1ул,да,уст1ул,ушт1у,,уст1у,,,,,,,,истóл,уст1ул,,ист1ул,,устуль,,стол,
бумага,the paper,kaghiz,"waraq (general), waraqa (a piece of paper)",,кагъат,кагъат,кагъат,кагъат,кагъат,кагъат,кагъат,кагъат,кагъат,гагъат,кагъат,kağız,къагъыз,КАГЪАЗ,чагъар,кагъаз,къазить,газить,чар,чар,чар,чар,бумага,кагъат,ƛibo,л1ибу,кагъат,кагъат,кагъат,кагъат,кагъат,кагъат,,да,кагъат,да,кагъат,да,кагъат,да,кагъат,,,кагъа,,да,кагъа,,,,,кагъар,кагъаль,,да,кагъаль,кагъаль,,да,кагъаль
магазин,the shop/store,"forushgah, maghoza, hanoot, dokkan","mahall, dukkan, matjar",,дукан,тукан,"кап1рат1ив, тукан","магазин, дукан",тукан,тукан,тукан,туькан,0,тукан,тукан,mağaza,тюкен,"ТУЬКВЕН, RUS","ТУЬКВЕН, RUS",магазин,магазин,дукан,туьквен,туьквен,туьквен,туьквен,магазин,КАПРÁТ,koparat,копарат,магазин,магазин,"тукен, ашбаз",магазин,тукан,да,тукан,да,тукан,да,тукан,тукан,,тукин,,тука,,да,тука,,,,,,,ТУКÁН,тукан,,,,да,тукан,тукен,
школа,the school,"madreseh, dabestan, adab, darot-tadrees, moallemin",madrasa,,мехьтеб,мехьтеб,мехьтеб,мехьтеб,махьтеб,мехьтеб,мехьтаб,мехьтаб,мехьтаб,мехьтеб,мехьтеб,məktəb,"школа, мактап",RUS,мехьтеб,мектаб,мектаб,мектаб,мектеб,мектеб,"мектеб, мектаб","мектаб, мектеб",школа,"мактаб (уст.), ишкола",iškola,ишкола,школа,школа,школа,"ишкола, мактаб",ушкул,ушкул,,да,ушкул,да,ушкул,ушкул,,ушкул,,ушку,,ушку,,,,,,,,ишкол,ушкул,,школа,,ишкул,,школа,
мул,the mule,"ostoor, ghater",baghl,,къатир,къатир,къатир,къатир,къатир,къатир,къатир,къатир,къатир,къатир,къатир,qatır,къачыр,КЪАТИР,КЪАТИР,къатир,къатир,къатир,кьатир,кьатиб,"яц, жунгав",0,мул,КЪВЕРÉЦIН/И//КЪЕРÉЦIН/И,xoyc’on,хьойц1он,0,к1ерец1и,къерец1ни,гьурцIум,0,г1урц1ина,,да,г1урц1ина,г1урц1иня,,п,г1урц1иня,х1орцин,,имихи,,?,,,,,,,,ГЪÓРЦIОМ,кунт1а гьами,,,,г1орц1им,,кунт1а гьами,
овёс (чем кормят лошадей),the oats,solt,shoufan,,хьытI,хьыт1,0,гъаргъал,гъаргъал,гъаргъар,гъаргъал,гъаргъал,гъаргъал,сык1ыл,гъыл,yulaf,"сулу, ныха",ГЕРГЕР,нех,гъаргъар,0,сык1ыль,нях,гергер,гергер,кьуьл,овёс (чем кормят лошадей),сесро,0,?,махъа,махъа,махъа,0,ниха,да,ниха,"берч1ин, ниха подтвердил, а берч1ин наверное рожь",,беч1ин муъа ниха подтвердил,,"беч1ин ячмень, ниха может быть подтвержил",,да,"беч1ин ячмень, ниха может быть подтвержил",ниха,,?,,,,,,,,НИХА,подтвердил ниха,НИХА,,,ниха,,"беч1ин, ниха не овес",
карандаш,the pencil,ghalam,qalam,,кьалам,кьалам,кьалам,кьалам,кьалям,къалам,кьалям,кьалям,кьалям,кьалам,кьалам,karandaş,карандаш,RUS,кьалам,кьалям,кьалям,кьалям,кьалам,к1алам,"карандаш, кьалам",карандаш,карандаш,къалам,0,къалам,къалам,къалам,къалам,къалам,къалам,да,къалам,да,къалам,да,къалам,да,къалам,къалам,,къала,,"да, с назализацией",къала,,,да,къала,,,къалáм,къалам,,да,къалам,да,къалам,да,къалам
репа,the turnip,shalgham,"shalgham, shalgam",,0,кьа1,кьаъа,кьаъа,кьаъа,къа,кьаъ,кьа1,кьаъа,0,0,şalğam,турп,ТУРП,?хьылаб,джугъундур,радиска,джугъундур,клаб,клоб,"джугъундур, турп",0,репа,0,0,ча1рха1ли,0,?,0,0,0,талган,,,,,,"ч1аркъут1ан, талган тоже может быть",,талган,,не так,,не бывает,,,,,,,,0,,,,,,,,
табак,the tobacco,"tambakoo, tootoon",tabagh,,тамбаку,тамбаку,тутун,тамбаку,тутун/тамбаку,тутун,туьтуьнь,"туьтуьн, тамбаку",тютюн,тамбак,туьтуьн,tütün,тамакю,ТЕНБЕК,ТЕНБЕК,туьтуьнь,тямбаку,туьтуьнь,тенбек,тембек,тембек,тембек,табак,таммаку,tammako,таммако,"табак, таммаку",таммаку,таммаку,тамаку // таммаку,тамахьу,да,тамахьу,да,тамахьу,да,тамахьу,"къех1 то что сажают, тамахьу подтвердил",,да,"къех1 то что сажают, тамахьу подтвердил",тахьо,,"хъалима сигарета, тахьо подтверджил",тахьо,,,,,,,тамако,тамахьва,,"паруз (папироса), тамахьо",,тамахьв,,тамахьв,
полотенце,the towel,"abchin, eezaree, howleh, dastar, -mal, roomal","minshaff, nashaafa",,десмал,десмал,десмал,десмел,десмел,десмал,десмал,десмал,десмал,тасмал,дасмал,dəsmal,"чюй явлукъ, бет явлукъ",ДАСМАЛ,ДАСМАЛ,десмал,десмал,десмал,дасмал,тасмал,тасмал,тасмал,полотенце,палатенце,t’ilo,палатенце,полотенце,палатенца,палатенце,палатинца,0,палатенце,,да,палатенце,да,палатенце,да,палатенце,да,палатенце,да,палатенце,да,палатенце,палатенце,,,,,,ПАЛАТИНЦ,палатенце,,,,да,палатенце,да,палатенце
перец (черный),the pepper,"pelpel, fiyyat",fulful,,истивут,уст1уъут,истиут,исиут,иссиут,истивут,истиут,истиут,истивут,истиут,иставут,bibər,"бурч, жибижей, иссиот",ИСТИВУТ,ИСТИВУТ,истиот,иссоот,иссоот,истивут,истивут,истивут,перец,перец (черный),ГIИКЬ/У,0,истиот,перец,г1ел1у,икьму,"пIилпIил (черный), цицака // цацаки, истовт (красный)",пучч,почч (любой перец),,перец,,пуч,,"подтверждает пучч на молотый перец, обычно рус",,перец,,перец,,рус,,,,,,,,"исибурат - красный, пуч - черный, пипил - красный стручковый",перец,,,,"пуч, перец",,перец,
лев,the lion,"shir, arslan, asad, hares, dervas, delhas",asad,,аслан,аслан,аслан,аслан,аслан,аслан,аслан,там,аслан,пеленг,аслан,aslan,"арсланкъаплан, арслан",аслан,аслан,пейланг,аслан,аслан,аслаг,лев,аслан,перлен,лев,0,ɣalbac’,ц1иркъ,0,0,лев,гъалбацI,гъалбац1,гъалбац1,,да,гъалбац1,да,гъалбац1,да,гъалбац1,да,гъалбац1,гъабац1е,,подтвердил гъабац1е,гъабац1е,,,,,,,ГЪÁЛБАЦI,гъалбац1,,подтвердила,гъалбац1,да,гъалбац1,да,гъалбац1
неделя,the week,hafteh,usbou',,гьаIфте,гьафте,гьафта,гьафте,гьафта,гьяфте,гьфта,гьафта,гьафта,гьафте,гьафте,həftə,жума,гьафте,гьафте,гьафте,гьафте,гьафте,гьафте,гьафта,"гьафте, гьафта",гьафта,неделя,ÁНКЬ/И,anƛ’,анл1,неделя,анкьи,0,анкьи,гьакьу,да,гьакьу,да,гьакьу,да,гьакьу,да,гьакьу,да,гьакьу,акьо,,да,акьо,,,,,,,ГЬАКЬВ,"гьакь (семь), также расческа",,,,да,"гьакь (семь), также расческа",да,"гьакь (семь), также расческа"
свеча,the candle,"seraj, sham'",sham'a,,шам,шам,шам,шам,шам,чирах,шам,шам,"гарч - лучина, шам",шам,шам,şam,майчыракъ,шем,шем,шам,шам,шам,шам,шам,чырагъ,шам,свеча,сантели,santeli,0,свеча,свеча,свеча,сантали,х1ебул,"NA (в словаре керосинка, коптилка)",,х1абу чирахъ (керосинка),,свечка,,свеча,,х1едул чирахъ,,чирахъе,,?,,,,,,,,КАТУШКАЧИРАХЪ,"шайт1ани чирахъ (керосинка), свеча",,,,не знаю,,свеча,
стекло,the glass,"shisheh, abgeeneh",zujaaj,,гьаIйне,"гьайне, дзыр — мелкое",а1йне,а1йна,айна,а1йне,а1йна,гьайна,гьайна,гьа1йне,гьа1йне,şüşə,шиша,шуьше,гуьзгуь,айна,айна,гьайна,гуьзгуь,"гуьзгуь, айна",гуьзгуь,гуьз,стекло,чIикай,c’ika,с1ика,ч1ик1ай,ч1икай,ч1икай,цIикай,"лампа, мат1у",мат1у,,да,мат1у,да,мат1у,да,мат1у,ц1ерда,,жари,,жари,,,,,,,,ЛАПÁН,мат1в,,мат1,,да,мат1,да,мат1
рис,the rice,"oroz, berenj, pelaw, chelan, chalpaseh, chaltook","aruzz, ruzz",,0,дюгю,дуьгуь,дюгю,дюгю,дюгю,дуьгуь,дуьгуь,дуьгуь,дуьгуь,дуьгуь,düyü,дюгю,дуьгуь,дуьгуь,биринз,биринз,биринз,дуьгь,дуьгуь,дуьгуь,дубгуь,рис,0,birinži,биринжи,пулав,пулав,пулав,пулав,пулав,да,пулав,да,пулав,да,пулав,да,пулав,рис,,гьуло,,да,гьуло,,,,,,,пулáв,рис,,,,рис,,не знаю,
чашка,the cup,"abkhoree, avandee, ayagh, pialeh, jam, dowleh, pengan","koub, finjaan",,чашка,гыр,чашка,чашка,чашка,курушк1а,чашка,чашка,мускьаб?,чашка,чашка,fincan,"чашка, пинжан",бади,истакан,чашка,чашка,истакан,истакан,къаб,"чашка, бади, крушка",,чашка,ЖÁМ/И,NA,хьада,стакан,зеки,шиту,кIотIо,"ц1ц1аНт1ур, кь1елкь1а - деревянная",куружка,,,,куружк1а,,куружк1а,,кружка,,куружка,,гурушка,,,,,,,,0,подтвердил,0,шот1а,,"чашка, шот1а подтвердил",шот1а,чашка,
бутылка,the bottle,"botree, tong, ravieh (leathern), zeghgh (leathern)",zujaaja,,шуьше,шуьше,шуьше,шуьше,шуьше,шуьше,шуьше,шуьше,шуьше,шуша,шуьше,şüşə,шиша,ШУЬШЕ,ШУЬШЕ,бутылка,шуьше,бутылка,шуьше,шуьше,,шуьше,бутылка,шиша,šuša,шуша,шуша,шуша,шиша,шуша,шишав,шишав,,да,шишав,да,шишав,да,шишав,шиша,,,,шиша,,да,шиша,,,,,шишá,шиша,,да,шиша,шишва,,шиша,
трубка курительная,the pipe,0,ghalyoun,,0,къалыен,хъалиен,хъалиян,хъалиен,муьштуьк1,къалиян,къалиян,хъалиян,"муьшт1ук, къалиян",къалиян,boru,юлле,къалиян,муштуьк1,къальян,къайлян,0,муьштуьк1,муштуьк1,,муштукь,трубка курительная,0,0,0,0,муштук1,муштук1,0,0,NA,,муштук,,п,муштук,маршу,,трубка,,муштуки,,?,,,,,,,,0,муштук,,,,муштук,,павруз,
