russian translation,name,Persian,Arabic,Failures Farsi,Rutul Dict,Rutul Rutul Vera,Ikhrek Rutul Jariyat,Ikhrek Rutul Aishe Word,Ikhrek Rutul Zijawudin 77 Word,Ikhrek Rutul Salimat 56 Word,Kina Rutul Nurulla,Kina Rutul Mevletdin 70 word,Kina Rutul Magomed-Shapi 67yo word,Kiche Rutul Serazhudin Word,Kiche Rutul Sejfulla Word,Azer,Kumyk,Lezgian,Khlut Alimurad,Helmets Abduragim,Helmets Tarlan,Helmets Murad,Khlut Alimurad,Khlut Arsen,Khlut Sanidir,Khlut Islam,Russian,Tsez_dict,Bezhta_dict,Bezhta Batyr,Kidero Aishat,Kidero Ibragim,Kidero Akhmed,Hinuq_dict,Karata,Karata_Zagra,Karata_Zagra_da,Karata_Umarkhadzhi,Karata_Umarkhadzhi_da,Karata_Khajbula,Karata_Khajbula_da,Karata_Ktoto,Karata_Ktoto_da,Tukita_MagMag,Tukita_MagMag_da,Tadmagitl_Khadzhimurat,Tadmagitl_Khadzhimurat_da,Tadmagitl_Nazirbek,Tadmagitl_Nazirbek_da,Tadmagitl_Nadzhawat,Tadmagitl_Nadzhawat_da,Tadmagitl_Abdurakhman,Tadmagitl_Abdurakhman_da,Karata_Gazijav,Karata_Gazijav_da,Bagvalal,Bagvalal_Gusejn,Bagvalal_Gusejn_da,Bagvalal_Muminat,Bagvalal_Muminat_da,Bagvalal_Muslim,Bagvalal_Muslim_da,Bagvalal_nazhavat,Bagvalal_nazhavat_da
цена,the price,"qeymat, baha","si'r, qeemah, θaman",,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,qiymət,"багьа, къыймат, гьакъ",мас,кьимет,кьыймат,кьиймат,кьимат,кьимет,к1емет,к1емат,к1емат,цена,БÁГЬ/А,baha,багьа,багьа,багьа,БÁГЬ/А,"багьа, къимат, хIакъ","багьа, къимйат",багьа,,да,багьа,да,багьа,да,багьа,да,багьа,багьа,,да,багьа,,,,,,,багьá,багьа,,багьа,,да,багьа,да,багьа
пила,the saw,arreh,"minsharr, meesharr",,меншер,меншер,къыздабил,"гирдебил, дархъилаг, *меншер",гирдебил,дархилаг,"гирдаб, дархъилак, меншер","кирдаб, дархилаг",кирдаб,меншер,меншер,mişar,бычгъы,мишер,мишер,гирдабиль,гердабиль,гердабиль,меншере,меншери,меншери,,пила,ХИРИХ,xoyɣo,хойгъо,хирих,хьирих,ХИРИХ,хилих,ххердоб,да (пилящая вещь),ххердоб,ххердоб дала,,да,ххердоб дала,да,ххердоб дала,хъухъаб диру,,хъухъа диро,,да,хъухъа диро,,,,,,,хъихъвáниб,хъохъодира,,,,да,хъохъодира,да,хъохъодира
лекарство,the medicine,,dawaa',,дарман,"дава, дарман",дарман,дарман,дарман,дарман,дарман,дарман,дарман,дава,дарман,tibb,дарман,дарман,дарман,дарман,дарман,дарман,дарман,дарман,дарман,дарман,лекарство,дару,daru,дару,дару,дару,дару,"дару, дарман, сабав // сабаб2",дару,да,дару,да,дару,да,дару,да,дару,да,дару,дару,,да,дару,,,,,,,"дармáн, дарý",дару,,да,дару,да,дару,да,дару
семья,the family,xanevadeh,"aailah, usrah",,"хизан, куьльфет",хизан,хизан,хизан,кулфат,хизан,хизан,хизан,хизан,хизан?,хизан,ailə,"уягьлю, агьлю",килфет,хизан,хизан,хизан,хизан,хизан,хъзан,хизан,хизан,семья,БÁРУ-ХÉХ/БИ,qizan,семья,хак1у,хьак1у,бал1у,"агьлу, гьакъу, гьакъу-къала, хъизан","агьлу, куНт1а-гьарк1к1е, хъизам",хъизан,,хъизам,,да,хъизам,да,хъизам,да,хъизам,хъиза,,да,хъиза,,,,,,,"кулпáт, хъизáн",хъизан,,,,хъизам,,хъизан,
мост,the bridge,,jisr,,гъа1,гъа1,гъа1,гъа1,гъа,гъе1,гъа1,гъа1,гъа,гъа1,гъа1,körpü,кёпюр,тахта,муьгъ,цигъ,йугъ,йугъ,муьгъ,муьгъ,,,мост,"КIÁМ/У (арочный), ЛIЕ",t’iyo,т1ийо,л1е,л1е,л1е,лIемо2,кьеру,да,кьеру,да,кьеру,да,кьеру,да,кьеру,да,кьеру,кьира,,да,кьира,,,,,,,кьер,кьер,,,,да,кьер,да,кьер
"друг, приятель",the friend,dust,saahib,,"хыди, юлдаш, дуст,къардаш",юлдаш,дуст,дуст,дуст,дуст,юлдаш,юлдаш,"дост, юлдаш",юлдаш,юлдаш,dost,"къурдаш, ёлдаш, ювукъ, дост ёлдаш",КЪАРДАШ,дуст,дуст,дост,дуст,дуст,юлдаш,дуст,юлдаш,"друг, приятель",0,0,гъалмагъ,гъалмагъ,гъалмагъ,гъалмагъ,"ваццал, гьалмагъ, гьудул, гьудул-гьалмагъ",чокъа,"чокъа, гъалмагъ - аварское",,чокъа,,да,чокъа,чокъа,,"гъалмагъ, гьудул",,гьамагъе,,да,гьамагъе,,,ц1еве,,,,0,"гьудул, гьалмагъ",,гьалмагъ,,гъалмагъ,,да,гъалмагъ
гвоздь,the nail,,mismaar,,"мысмар, хъатах",мусмар,масмар,масмар,масмар,масмар,мигьман,мысмар,мысмар,мысмар,мысмар,dırnaq,"мых, чюй",МИСМАР,мысмар,мысмар,мысмар,мысмар,масмар,масмар,"михъ, масмар",мих,гвоздь,ÓКI/О,muq’o,мукъо,ÓКI/О,ÓКI/О,ÓКI/О,акIве,"гьаНк1ва, х1аНк1ва",гьанк1ва,,да,гьанк1ва,да,гьанк1ва,да,гьанк1ва,гьанк1ва,,микъе,,да,микъе,,,да,микъе,,,гьáкIва,гьанк1ва,,да,гьанк1ва,да,гьанк1ва,да,гьанк1ва
вилы (сена),the fork(2)/pitchfork,,midrah,,хьылан,хьылан,хьибк1ари,хьибк1ари,хьиккари,хибкари,мысмар,хылан,"хьылан, кьынгери",хьылан,хьылан,yaba,сенек,КЬУЬК,КЬУЬК,яба,яба,яба,кьуьк,кьуьк,кьуьк,,вилы,#N/A,#N/A,сино,КЪУIЛI/У,КЪУIЛI/У,КЪУIЛI/У,#N/A,#N/A,#N/A,,#N/A,к1ванкьа,#N/A,к1ванкьа,#N/A,,#N/A,,#N/A,,#N/A,лъано,#N/A,,#N/A,лъано,#N/A,,кIвáНкьа,#N/A,,#N/A,к1ванкьа,#N/A,,#N/A,к1ванкьа
"щипцы, клещи",the tongs,,qarrasah,,"къецI, келбатун",кельбатун,къа1ц1,калбатун,къац,калбатун,калбатун,"калбатун, къац",калбатун,къа1ц,къец,maşa (щипцы),"маша, келпете","маша (для углей), хех",хех,кальбатун,кальбатун,кальбатун,хях,хех,къец1,къяц,"щипцы, клещи",ХÓЦI/У,0,ХаЦI/У,ХÓЦI/У,ХÓЦI/У,ХÓЦI/У,"калбатун, хоцIу",гъец1е,да,гъец1е,да (и в печке кочерга?),гъец1е,да,гъец1е,гъец1е,,гъец1и,,гьец1и,,?,,,,,,,,гъецIв,гьец1,,гьец1,,гьец1,,да,гьец1
тыква,the pumpkin or squash,,qar'ah,,къабах,къабах,къабах,къабах,кабах,кабах,къабах,къабах,къабах,къабах,къабах,balqabaq,къабакъ,буран,къабах,кьабах,к1абах,къабах,къабах,кабах,къабах,къабах,тыква,,NA,къабах,хъабах,хъабахъ,тиква,,,да,,да,,да,да,п,да,хъабахъ,,хъабахъо,,да,хъабахъо,,,,,,,гамýз,дажик1,,дажик1,,да,дажик1,да,дажик1
ложка,the spoon,,mil'aqa,,дур,дур,дур,дур,дур,дур,дур,дур,дур,дур,дур,qaşıq,къашыкъ,т1ур,т1ур,к1ук1,к1ук1,к1ук1,т1ур,т1ур,т1ур,т1ур,ложка,БУГЬУН,k’obzi,к1обзи,хъоци,хъози,хъози,"кьид (деревянная), кIовзи (металлическая)","бегьун, гъеру",первое (второе - деревянная),,да,первое (второе - деревянная),да,первое (второе - деревянная),да,первое (второе - деревянная),бегьун,,сиква,,да,сиква,,,,,,,"квагь - глубокая, бегьýн - неглубокая",бегьун,,да,бегьун,да,бегьун,да,бегьун
зеркало,the mirror,,"mir'aah, mirayah(dial.)",,гюзгю,гюзги,гузге,гузге,гузги,гузге,гюзге,гюзге,гюзге,гюзгю,гюзгю,güzgü,гюзгю,ГУЬЗГУЬ,ГУЬЗГУЬ,нухри,нахури,нухари,гуьзгуь,гуьзгуь,гуьзгуь,гуьз,зеркало,ЧIИКÁЙ,c’ika,ц1ик1а,ЧIИКÁЙ,ЧIИКÁЙ,ЧIИКÁЙ,цIикай,"мат1у, бек1иНдоб",мат1у (и стекло тоже) (смотрящее зеркало бек1индоб мат1у),,да,мат1у (и стекло тоже) (смотрящее зеркало бек1индоб мат1у),мат1у (просто стекло),,да,мат1у (и стекло тоже) (смотрящее зеркало бек1индоб мат1у),мат1у,,да,мат1у,да,мат1у,мат1у,,да,мат1у,мат1у,,матIý,мат1,,да,мат1,да,мат1,да,мат1
барабан,the drum,,tablah,,накьра,накьра,накьра,накьра,накьра,накьра,накьра,накьра,накьра,макьра,накьра,nağara,"накъыра, барабан",ДАЛДАМ,ДАЛДАМ,накьра,накьра,накьра,далдам,далдам,далдам,далдам,барабан,КЪИIЛ/И,dibit’o,дибит1о,КЪИIЛ/И,КЪИIЛ/И,КЪИIЛ/И,къили,дане,дане,,да,дане,да,дане,"барабан, жергъен бубен",,дану,,,,гвама,,да,гвама,,,,,двай,двай,,да (носовой?),двай,да носовой,двай,да,двай
кукуруза,the maize/corn,,ðurrah,,къаргъадалый,къаргъадалый,къаргъудали,къаргъудали,каргъудали,къаргъудали,къаргъудели,къаргъудели,каргъаделле,кукуруза,къаргъадалай,qarğıdalı,гьабижай,гьажибугъда,кукуруз,къаргъадали,къаргъадали,къаргъадали,кукуруз,"ажибулда, кукуруз",кукуруз,,кукуруза,симинди,simindi,симинди,симилди,симилди,кукуруза,симинди // симилди,щамакъуру,щамакъеру,,шамакъуру,,да,шамакъуру,шамакъуру,,х1еч1къир,,ч1акъиру,,да,ч1акъиру,,,,,,,чакáлъара,шамакъар,,да,шамакъар,да,шамакъар,да,шамакъар
войлок (из чего делают бурки),the felt,,"libd, lubbad",,лит,лит,лит,лит,лит,лит,лит,бегиг?,тын,тараджа?,дыныд ухур,keçə,кийиз,лит,лит,кече,лит,0,лит,0,лит,0,войлок,#N/A,#N/A,0,ХIÓЛъИ,бутни,0,#N/A,#N/A,#N/A,,#N/A,буртина,#N/A,,#N/A,буртина сама бурка,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,рóкьом,#N/A,,#N/A,,#N/A,,#N/A,
раб,the slave,bandeh,abd,,"къул, лыIкI",къул,къул,наджбар,къул,"къул, наджбар",лык1,нуькьва,къул,лы1к1,лыкь,qul,къул,"бенде, къул, лук1",лык1,къул,къул,къул,лык1,лык1,лык1,"лык1, лук1",раб,0,laɣ,раб,лагъ,0,0,"гъарабаш, лагъ, хIамбалийав",лагъе,"хъазахъ, лагъе тоже можно",,лагъ (ав),,лагъ (ав),,лагъ,,лагъи,,лагъи,,?,,,,,,,,лагъ,"лагъ это по-аварски,",,,,гъаравуш (за меня работающий человек),,лагъ,
игла,the needle(1),,"khiyaat, ibrah, shaukah",,руб,руб,руб,руб,руб,руб,руб,руб,руб,руб,руб,iynə,ине,NA,раб,выеба,ваяба,выяба,раб,раб,раб,,игла,МУР/И,0,нибч,мури,мури,мури,макъваре,"бежун, къиНдоб",первое (второй слово - “шьющая”),,да,первое (второй слово - “шьющая”),да,первое (второй слово - “шьющая”),да,первое (второй слово - “шьющая”),бежун,,межу,,да,межу,,,межу,,,,бéжун,бежун,,да,бежун,да,бежун,да,бежун
труп,the corpse,,juθmaan,,майит,майит,майит,майит,майит,майит,джандахъ,майит,джаназа,майит,майит,cəsəd,"оьлген къаркъара, сюек",мийит,мийит,элу,элу,майит,муит,муит,муит,маит,труп,ЦУД/И,žanaza,жаназа,джаназа,джаназа,къаркъала,"жаназа, ракъи",джаназа,да,джаназа,да,джаназа,да,джаназа,"мусру, джаназа подтвердил",,да,"мусру, джаназа подтвердил",жаназа,,джаназа,,,,,,,,къаркъáла,"жаназа (ав, подтвердил)",,жаназа,,да,жаназа,да,жаназа
работа,the work,kar,amal,,гвалах,к1валах,ма1ъа1ш,ма1ъа1ш,маъа1ш,маъа1ш,к1валах,к1валах,к1валах,к1валах,квалах,iş,иш,к1валах,к1валах,иш,иш,ищ,к1валах,0,к1валах,,работа,хIалтIи,hält’i,х1алт1и,х1алт1и,х1алт1и,хIалтIи,"беддослъи, иш // ýш, хъулухъ, хIалтIи",ришаНхъер,да,ришаНхъер,да,ришаНхъер,да,ришаНхъер,да,ришаНхъер,тухала,,кукъи,,да,кукъи,,,,,,,"тóхала, хIалтIи, хIáлтIидар",х1алт1и,,,,тухали,,тухали,
мука (пшеничная),the flour,,"tihn, taheen",,ху1р,хы1р,хы1р,хы1р,ху1р,ху1р,ху1р,ху1р,хы1р,хы1р,гъу1ль,un,ун,гъуьр,гъуьр,ху,ху,ху,хуьр,хуьр,хуьр,хуьр,мука (пшеничная),атI,0,гьат1,атI,атI,атI,"азаб // гIазаб, акъуба // гIакъуба",хъороб,да,хъороб,да,хъороб,да (=молотый),хъороб,да,хъороб,хъолур,,аталълъи,,да,аталълъи,,,,,,,гьатI,гьат1,,,,да,гьат1,да,гьат1
топор,the axe/ax,,"tabar, fa's",,балта,балта,балта,балта,балта,балта,балта,балта,балта,балта,балта,balta,балта,як1в,наджах,як1в,як1в,як1в,наджах,наджах,нажах,нажах,топор,ГIО,õg,оНг,ГIО,ГIО,ГIО,"ог, ишину",аНжито,да,аНжито,да,аНжито,анжитобо,,анжито(бо),,г1анжит,,ажите,,да,ажите,,,,,,,аНжитв,анжит,,анжит,,да,анжит,да,анжит
кошка,the cat,,"qittah, hirrah",,га1т,гыт,гет,гет,кет,гет,гет,гет,гет,га1ть,гет,pişik,мишик,кац,кац,бисий,биси,биси,кац,кац1,кац1,кац1,кошка,КIÉТI/У,0,гету,к1ет1у,к1ет1у,КIÉТI/У,"кIетIу, цIуйав кIетIу","иссо, бугъурк1а",иссо (второе не то),,иссо,,да,иссо,да,иссо,кету,,кето,,кету,,,,,,,,китв,чет,,да,чет,да,чет,да,чет
стена,the wall,,"haait, jidaar, judraan",,мас,мас,мас,мас,мас,мас,мас,мас,мас,мас,мас,divar,"там, чыр",цал,цал,дувар,дувар,давар,цал,цал,цал,цал,стена,ХЪИД/О,yõso,yõso,ХЪИД/О,ХЪИД/О,ХЪИД/О,хъешу,къиН,къин,,къиН,,къиНй,,къийН,,къин,,къеда,,къеда,,,,,,,,къин,къинда,,къинда,,да,къинда,да,къинда
крупный рогатый скот,the cattle,,mawaashi,,"къара мал, зебыр",даварар,"даварар, къара мал","даварар, зер","зебыр, малбыр","йас, зер, малбыр, карамал — азерб",карамал,малбыр,малбыр,малбыр,даварар,mal-qara,къара тувар (рогатый скот),къарамал,къарамал,къарамал,чавра,чавра,къармал,"колер, малар","мал-хеб, къарамал",суьри,крупный рогатый скот,ХIАЙВÁН,häymän,häymän,гьуру,босу,зе,хIайван,х1ванил1,бец1ур (в словаре непонятно),,,,,,,,,,,,,,,,,,,,бечI,х1айванади,,,,,,,
долг (денежный),the debt,,"dein, madyuniyah",,бырдж,бырдж,бырдж,бырдж,бырдж,бырч,бырдж,бырдж,бырдж,бырдж,бырдж,borc,борч,БУРЖ,БУРЖ,борж,борж,борж,бурж,бурж,бурж,бурж,долг,#N/A,#N/A,nahɬi,налъи,к1аза,налъи,#N/A,#N/A,#N/A,,#N/A,къарз,#N/A,,#N/A,"налъи ав, къарз подтвердил",#N/A,,#N/A,,#N/A,гьебе,#N/A,,#N/A,,#N/A,,"къарз, нáлгьи, парз",#N/A,,#N/A,,#N/A,,#N/A,
свинья,the pig,,khenzeer,,дунгъуз,дунгъуз,дунгъуз,дунгъуз,дунгуз,дунгуз,дунгъуз,дунгъуз,дунгуз,дунгъуз,дунгъуз,donuz,донгуз,вак,вак,вок,вок,вок,"вок, цуьнуь",вак,вак,вак,свинья,баIлIо1,buƛo,buƛo,баIлIо1,баIлIо1,баIлIо1,болIи,"болъон, дуНгъуз, хъапан","первое, (дунгуз - это трутень)",,болъон,,да,болъон,"хъабан дикая, болъон домащняя после разудмичй",,болъон,,болъо,,подтвердил,болъо,,,,,,,"болгьóн, дуНгъýз",болъон,,,,да,болъон,болъон,
петух,the cock/rooster,,deek,,дадал,дадал,дадал,дадал,дадал,дадал,дадал,дадал,дадал,дадал,дадал,sik,хораз,к1ек,к1ек,дадал,дадал,дадал,к1ек,кек,к1ек,,петух,МАМАЛÁЙ,mamali,mamali,мамалай,мамалай,мамалай,гулучи,хъут1а,да,хъут1а,да,хъут1а,да,хъут1а,да,хъут1а,да,хъут1а,хъелеко,,да,хъелеко,,,,,,,куНтIáб,гьелеко,,,,да,гьелеко,да,гьелеко
"ремень, пояс",the belt,,hizaam,,чIил,ч1ил,ч1ил,йикьа1йди,йакьайяги,чил,ч1ил,ч1ил,ч1ил,ч1ил,чил,qayış (ремень),къайыш; белбав,ч1ул,ч1ул,камар,камар,камар,ч1ул,чул,чул,,"ремень, пояс",РИЦ/У2,0,ц1иц1и,ч1урут1у,ашуни,ашуни,"ашуне1, илъ // ýлъ1, къвал, речу, чIилу",рачвал,да,рачвал,да,рачвал,да,рачвал,да,рачвал,рачвал,,ракьича,,да,ракьича,,,,,,,]áНтIа / ČáНтIа,рижва,,,,да,рижва,да,рижва
нитка,the thread,,kheit,,ухур,ухур,ухур,ухур,ухур,ухур,ухур,ухур,у1мур,ухур,ухур,sap,йип,гъал,гъал,ухара,ухара,ухура,гъал,гъал,гъал,хал,нитка,КIÁРЙ/А,0,к1игьмат,муху,маху,муху,мекъу // некъу,рекун,да,рекун,"кару, рекун подтвердил, даже больше подходит",,рекун,,да,рекун,кору,,квари,,да,квари,,,,,,,квар,квар,,,,да,квар,да,квар
железо,the iron,,hadeed,,йилаг,йиляг,йилаг,йилег,йилаг,гьилаг,йилег,йилег,ухур,йилаг,йилаг,dəmir,темир,РАКЬ,РАКЬ,йива,йива,йилагъ,ракь,ракъ,ракъ,ракъ,железо,ГЕР,kil,kil,гер,гер,гер,кер,куба,да,куба,да,куба,да,куба,да,куба,да,куба,рач1ихе,,да,рач1ихе,,,да,рач1ихе,,,кýба,куба,,да,куба,да,куба,да,куба
волк,the wolf,,ðiab,,убул,убул,убул,убул,убул,губул,убул,убул,убул,убул,убул,canavar,бёрю,ЖАНАВУР,ЖАНАВУР,джанавар,джанавар,джанавар,жанавур,жанавур,жанагур,жанавур,волк,боцIи,bac’o (1),bac’o,боц1и,боц1и,боц1и,боцIе,"бац1а, хъумур",бац1а,,да,бац1а,да,бац1а,да,бац1а,бац1а,,бач1а,,да,бач1а,,,да,бач1а,,,бáцIа,бац1а,,да,бац1а,да,бац1а,да,бац1а
вдова,the widow,,armalah,,выгIыл йикьид хьыдылды,хиндадый,къайвани,къайвани,къайвани,къайвани,хиндандай,хиндандай,хьиндандай,хьиндадай,хьиндадай,dul,тул къатын,ХЕНДЕДА,хындадай,сип1ыри,сип1ыри,сеп1ыри,хындадай,гъуьл кье паб,хиндадай,хендадай,вдова,КЪОРОЛÁЙ,qorolay,хъоролай,0,къорола,къоролай,"къоролай, къорон-ахъили",къоролай,къоролай,,да,къоролай,да,къоролай,да,къоролай,да,къоролай,,,къорола,,къорола,,,,,,къорóлай,къоролай,,да,къоролай,да,къоролай,да,къоролай
гриб,the mushroom,,futr,,чеч,чеч,ц1ик1вал,ц1ик1вал,чиков,ц1икал,пафбыр,паф,паф,чач,чеч,göbələk,къолкъотур,КЪАРНИКЪУЗ,"паф, къарникъуз",п1ап1ыш,п1ап1ыш,п1ап1ыш,паф,паф,паф,,гриб,"атI, инахI-зикIу,
	энехIзикIу, куралак
",zok’o,зок1о,инахI-зикIу,инахI-зикIу,инахI-зикIу,зекIу,режабо,да,режабо,режба,,режабо,,режабо,,г1урдалх1ан,,г1урдах1е,,,,,,да,г1урдах1е,,,губ,торша,,"г1урдах1ан (торша на гриб может тоже говорят, не знает)",,г1урдах1ан,,шайт1анилъ торша (круг черта),
голос,the voice,seda,sout,,сес,сес,сас,сас,сас,сас,сес,сес,сес,сес,сес,səs,"тавуш, аваз, сес",СЕС,СЕС,сес,сес,сес,сес,сес,сес,сес,голос,ГЬАРÁКЬ,hok’,гьаракь,гьаракь,гьаракь,ГЬАРÁКЬ,"гьаракь, пIез, сас",лъарч1ч1у,лъарч1ч1у,,да,лъарч1ч1у,да,лъарч1ч1у,лъарч1ч1у,,гьарч1у,,лъац1о,,да,лъац1о,,,да,лъац1о,,,хIащIв,гьач1,,да,гьач1,гьач1в,,да,гьач1в
гость,the guest,mehmoon,dheif,,мийман,мийман,мигьман,мигьман,мигьман,мигьман,мигьман,мигьман,мигьман,мигьман,мигьман,qonaq,къонакъ,МУГЬМАН,МУГЬМАН,мигьман,мигьман,мигьман,мегьман,муьгьман,мегьман,мугьман,гость,ЛIИРБ/А,hobol,hobol,ЛIИРБ/А,ЛIИРБ/А,ЛIИРБ/А,лIерба,ц1ц1ев,да,ц1ц1ев,да,ц1ц1ев,да,ц1ц1ев,да,ц1ц1ев,ц1е,,ц1еве,,да,ц1еве,,,да,ц1еве,,,Čēв,ц1ев,,да,ц1ев,да,ц1ев,да,ц1ев
клюв,the beak,,"minqaar, minqaad",,к1ухь,к1ух,"бук1, к1уф?",к1уф,к1ухь,к1уф,к1ухь,к1ухь,к1ухь,к1ыф,к1уф,dimdik,къуш бурун,к1уф,к1уф,бок1,бок1,бок1,к1уф,к1уф,к1уф,,клюв,буIкьи,möƛ‘ö,möƛ‘ö,гьут1у,буIкьи,гьут1,микьу,суНк1а,да (равно губа),суНк1а,да,суНк1а,да,суНк1а,да,суНк1а,гозо,,миъи,,да,миъи,,,миг1а,,,,хоНхóл // хваНхáл,сунк1а (как рот),,да,сунк1а (как рот),да,сунк1а (как рот),птицы нос,
свадьба,the wedding,"ezdevaj, namzadi","zawaaj, 'urs, tazawwuj",,"дават, туй",дават,дават,дават,дават,дават,даватбыр,дават,дават,дават,дават,toy,той,мехъер,тавияр,даватбе,даватбе,дават,туяр,туй,"туй, межлис",,свадьба,БЕРТИН,beyten,beyten,бертен,бертен,бертен,"бертен, зурма-къили, ригьин-цIай, сухIмат-къили",бертен,да,бертен,да,бертен,да,бертен,да,бертен,да,бертен,мети,,да,мети,,,,,,,бéртен,бетин,,,,бертин,,бертин,
паук,the spider,,ankabout,,хашанкIвалый,хашанк1алый,хашанк1ал,хашанкIал,хашанк1ал,хашанкал?,хашанк1ал,хашанк1валый,шанк1ал,хашк1ар,хашанк1валый,hörümçək,"мияма, мия",хуьшрекан,хуьшрекан,гинданахъ,гиндарахъ,гиндарахъ,хуьчрекун,хуьшрекан,хуьшрекан,,паук,БОЗÓГЪ/У,kalaɣas q’ī,kalaɣas q’ī,бил1ал1у,БОЗÓГЪ/У,0,"бозогъу, рокъ1",ххаразан,да,ххаразан,да,ххаразан,да,ххаразан,харазан,,синдаркьу,,хъахъара,,подтвердил,хъахъара,,,,,,,нисхъара,балугьан,,,,палигьан,,хъаранис,
цветок,the flower,,zahrah,,"бычI,бычIбыр",быч1,бич1,бич1,пич1,ич,быч1,быч1,быч1,быч1,быч1,gül,чечек,"гуьл (заим.), цуьк",цуьк,т1ет1ь,т1ет1ь,т1ет1ь,цуьк,цуьк,цуьк,,цветок,ГАГÁЛ/И,diʔi,diʔi,гагали,гагали,гагали,"гагали, тIегь",ццицци,да,ццицци,да,ццицци,да,ццицци,цици,,гиргин,,цици,,да,цици,,,,,,,гигин,цици,,цици,,да,цици,да,цици
"шрам, рана",the scar,,nadbah,,"лышан, йыхыIнь, яра",лышан,лышан,лышан,йыхыIнь,лышан,ич,лышан га,лышан,ич,лышан,çapıq,яра дамгъа,кьац1,ишк1ал,0,чапых,0,ишк1ал,хер,лишан,,шрам,#N/A,#N/A,0,ра1хъ,ругъын,0,#N/A,#N/A,#N/A,,#N/A,,#N/A,андже,#N/A,андже,#N/A,,#N/A,,#N/A,дигъи,#N/A,,#N/A,,#N/A,,ащ,#N/A,,#N/A,,#N/A,,#N/A,
пыль,the dust,,turaab,,руг,руг,туз,туз,туз,туз,туз,туз,туз,руг,руг,toz,чанг,руг,туз,тоз,тоз,тоз,туз,туз,руг,туз,пыль,"гибу, гутI, кьи­ди, кьиди-хвиди (мок.), поIн",pax,pax,гибу,гьыр,гибу,"гебу, пох, хIур",х1уре,да,х1уре,да,х1уре,да,х1уре,да,х1уре,х1ури,,тата,,да,тата,,,,,,,дáра,х1ур,,,,да,х1ур,х1ур,
ящерица,the lizard,,"sihliyah, dhabb",,накьыIваIкь,някьы1ва1кь,футфул,хьутхьул,хьутхьул,хьутхьул,"накьыIваIкь, ц1ак1арак",?,ц1ак1арак,накьывакь,маркьы1вакь,kərtənkələ,гесертки,чурчул,хурлинк1,бынек,бынек,бынек,хурлинк1,хорлен,хурлинк1,,ящерица,ШÉТР/О,k’emusa,к1емура,ШÉТР/О,ШÉТР/О,ШÉТР/О,шотра,аНччу,да,аНччу,да,аНччу,да,аНччу,аНччу,,к1анччи,,после записи к1аццара,,подтвердил,после записи к1аццара,,,,,,,"чIаНщв / кI’аНщв, гьолгьол - зеленая",к1аншва,,к1аншо,,к1аншо,,к1аншо,
"вещь, предмет (вот эту вещь дай мне)",the thing,,shei',,кар,кар,кар,кар,кар,кер,кар,кар,кар,кар,кар,şey,зат,ШЕЙ,ШЕЙ,кар,кар,кар,шей,шеъ,шеъ,шеъ,"вещь, предмет",#N/A,0,жо,шебин,шебин,шебин,#N/A,#N/A,#N/A,,#N/A,,#N/A,ц1ебдала,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,0,#N/A,,#N/A,,#N/A,,#N/A,
