russian translation,name,Persian,Arabic,Failures Farsi,Rutul Dict,Rutul Rutul Vera,Ikhrek Rutul Jariyat,Ikhrek Rutul Aishe Word,Ikhrek Rutul Zijawudin 77 Word,Ikhrek Rutul Salimat 56 Word,Kina Rutul Nurulla,Kina Rutul Mevletdin 70 word,Kina Rutul Magomed-Shapi 67yo word,Kiche Rutul Serazhudin Word,Kiche Rutul Sejfulla Word,Azer,Kumyk,Lezgian,Khlut Alimurad,Helmets Abduragim,Helmets Tarlan,Helmets Murad,Khlut Alimurad,Khlut Arsen,Khlut Sanidir,Khlut Islam,Russian,Tsez_dict,Bezhta_dict,Bezhta Batyr,Kidero Aishat,Kidero Ibragim,Kidero Akhmed,Hinuq_dict,Karata,Karata_Zagra,Karata_Zagra_da,Karata_Umarkhadzhi,Karata_Umarkhadzhi_da,Karata_Khajbula,Karata_Khajbula_da,Karata_Ktoto,Karata_Ktoto_da,Tukita_MagMag,Tukita_MagMag_da,Tadmagitl_Khadzhimurat,Tadmagitl_Khadzhimurat_da,Tadmagitl_Nazirbek,Tadmagitl_Nazirbek_da,Tadmagitl_Nadzhawat,Tadmagitl_Nadzhawat_da,Tadmagitl_Abdurakhman,Tadmagitl_Abdurakhman_da,Karata_Gazijav,Karata_Gazijav_da,Bagvalal,Bagvalal_Gusejn,Bagvalal_Gusejn_da,Bagvalal_Muminat,Bagvalal_Muminat_da,Bagvalal_Muslim,Bagvalal_Muslim_da,Bagvalal_nazhavat,Bagvalal_nazhavat_da
"кабан, боров, вепрь",the boar,,hallouf,,"къабан, кабан",къабан,дунгъуз,дунгъуз,къабан,дунгъуз,дунгъуз,дунгъуз,къабан,къабан,дунгъуз,qaban,къабан,вак,вак,къабан,вок,къабан,"къабан, вак",вак,вак,вак,"кабан, боров, вервь",#N/A,0,бул1,БÁIЛI/О,БÁIЛI/О,БÁIЛI/О,#N/A,#N/A,#N/A,,#N/A,,#N/A,хъапан,#N/A,,#N/A,,#N/A,,#N/A,болъо,#N/A,,#N/A,,#N/A,,"гьиНчIáб, хъапáн",#N/A,,#N/A,,#N/A,,#N/A,
ворота,,,"baab, bawaabah",,"дарваза, къапа",дарвазабыр,давраза,давразабыр,давразабыр,дарваза,дарваза,дарвазыбыр,ракбыр,дарваза,дарвазабыр,darvaza,"къапулар, къапу",вар,дарваза,дарваза,аккаби,аккаби,дарваза,"рык1арар, дарвазаяр","рак1арар, варар",ракь,ворота,КАВ/У,0,рий,варота,0,варота,каву,кав,кав,,къелу,,кав,,къелу,,кав,,ко,,да,ко,,,да,ко,,,кав,къила,,каву (къил неясно что),,каву,,каву,
дверь,the door or gate,dar,baab,,рак,рак,рак,рак,рак,рак,рак,рак1,,рак,рак,qapı,эшик,рак,рак,акка,аккаби,аккаби,ракь,рак,рак,,дверь,АЦ,0,ац,ац,ац,ац,гIац,гьиНц1ц1у,да,гьиНц1ц1у,да,гьиНц1ц1у,да,гьиНц1ц1у,да,гьиНц1ц1у,гьиНц1у,,иц1о,,"да, с назализацией",иц1о,,,да,иц1о,,,гьуНČв,гьунц1а,,да,гьунц1а,да,гьунц1а,да,гьунц1а
сирота,the orphan,,yateem,,"етим, есир",етим,етим,етим,етим,етим,етим,етим,етим,етим,етим,yetim,"етим, оьксюз",етим,етим,етим,етим,етим,есив??,етим,"етим, есим",етим,сирота,БЕСТIÁЛ,besdal,бестал,бест1ал,бест1ал,бест1ал,"бестIал(-ав), йатим(-ав)","гьач1об, йазихъоб",илъатоб мак1е (ребенок без отца) - в словаре просто не имеющий),,илъатоб,,да,илъатоб,илъат,,бесдал мак1и,,,,?,,,,,,,,йатим,ила има воч1о мач1и (йатим без родителей),,,,бесталав,,бесталяв,
лягушка,the frog,,"dafda', naqqaaqah",,гъы1б,гъы1б,пы1лхъ,пы1лхъ,пы1лхъ,хъалхъ,гъы1б,мы1хъ?,хы1б,гъы1б,гъы1б,qurbağa,бакъа,къиб,къиб,палхъай,палхъай,палхъай,къиб,къиб,къиб,,лягушка,ЛIÓХIР/О,ƛaplaɣe,ƛaplaɣe,ЛIÓХIР/О,ЛIÓХIР/О,ЛIÓХIР/О,лIочи,къоркъо,да,къоркъо,да,къоркъо,да,къоркъо,да,къоркъо,да,къоркъо,кокъо,,подтвердил,кокъо,,,,,,,къоркъ,къоркъ,,,,да,къоркъ,да,къоркъ
кольцо,the ring,,"daairah, halqah, tawq",,"т1ыба1ъа1л, уб",т1ыба1ъа1л,т1ыба1ъа1л,иб,т1уьбел,иб,"т1илия, мыгъыр",?,мыгъыр,т1ыба1ъа1л,т1ы1па1ль,üzük,"гьалкъа, юзюк, солгъу, минав",туп1ал,туп1ал,хъым,ты1жва,т1ыжва,туп1ал,туп1ал,туп1ал,,кольцо,БАШИХЪÓВ//БАШИХЪÓЙ,k’öyyä,k’öyyä,башк1ой,башк1ой,кольцо,кичи,лъиц1елащун,лъиц1елешун,,да,лъиц1елешун,"нишу, лъиц1елешун",,да,"нишу, лъиц1елешун",кольцо,,багьаче,,да,багьаче,,,да,багьаче,,,"гьиНцIáщуб - на палец, кI’иликI’а // чIи-личIа - железное, къердáр - на рогах, кI’иликI’а // чIиличIа - серебряное на цепочке",гьинц1и шо,,да,гьинц1и шо,да,гьинц1и шо,да,гьинц1и шо
песня,the song,,"ughniyah, ghanwah",,няни,няъни,баяти,баяти,баяти,байти?,ма1кьни,макьни,ма1кьни,маъни,магъни,mahnı,"йыр, сарын","баяд, лугъун, мани","баяд, лугъун, мани",маъни,маъни,маъни,маъни,маъни,маъни,маъни,песня,КЕЧI,keč’,keč’,кеч1е,кеч1,кеч1,"кечI, олъи",гьаНкье,да,гьаНкье,да,гьаНкье,да,гьаНкье,да,гьаНкье,кеч1а,,никва,,да,никва,,,,,,,кечI,кеч1,,,,кеч1а (кеч1 аварское),,да,кеч1а (кеч1 аварское)
летучая мышь,the bat,,khoffaash,,хъархъанаг,0,0,кьваркьыд хьыли,кьваркьыд хыли,?,0,магъыд?,махъыхъ,хъархъанаг,къаркъанак,yarasa,"гечекъуш, варканат",кьаркьулув,хъархъаба,шипихыр,шипихыр,0,хъырхъаба,хъархъаба,хъырхъаба,,летучая мышь,ЛАЛIУIХЪ/И,kündäy,0,ЛАЛIУIХЪ/И,ЛАЛIУIХЪ/И,0,киндури,гедеро,да,гедеро,подтвердил,гедеро,п,гедеро,п,гедеро,къехьилу? шакибо,,,,?,,,,,,,,мухурáщакиб,регьеди эртиндо гьерк1ва (ночью летающая вещь),,эртиндо гьерква,,регьеди эртиндо гьерк1ва (ночью летающая вещь),,эртиндо шакиб,
"серьга, сережка",the earring,,"qurt, halqah",,"халхалагбыр, убра аъадбыр",халхалаг,халхалаг,халхалаг,убрама ад,халхалаг,убра абыр,халхад?,убрабыр,убрабыр,убра хайбыр,küpe,"сыргъалар, гьалкъалар",япагъан,эпен,тана,тана,тана,эпен,"эпен, япак1ан",эпен,,"серьга, сережка",РОКIУР/А,0,г1аьгъаьлач,РОКIУР/А,РОКIУР/А,РОКIУР/А,хетIа,"гьаНт1ик1а, паши","баши, но сейчас говорят гьант1ик1а на ухо вашающая вещь",,гьант1ик1и т1андоб дала,,,,описательно,,описательно?,,,,кич1о,,,,,,,,бáши,коль (загон тоже),,,,коль,,коль,
сосед,the neighbour,,jaar,,къумши,къумши,къунши,къунши,къумши,к1унши,къумши,къумши,къумши,къумши,къумши,qonşu,хоншу,къунши,къунши,къунши,къунши,къунши,къунши,къунши,къуьнши,,сосед,мадугьан//мадугьал,maduhan,мадугьал,мадугьал,мадугъал,мадугъал,мадугьан // мадугьал,мадугьал,да,мадугьал,да,мадугьал,да,мадугьал,да,мадугьал,да,мадугьал,гъекьи эква,,гъельек1ва,,,,,,,,мáдугьал,подтвердил,мáдугьал,мадугьал,,да,мадугьал,мадугьаль,
браслет,the bracelet,,"tawq, iswaar",,"тIыбыхъ,браслет",т1ыбыхъ,"т1ыбыхъ, т1ул",т1ул,0,мыгь1ыр,?,лимаг?,ч1ил,т1ыбыхъ,0,bilərzik,билезик,цам,цам,къулбагъ,леха,лемех,цам,цам,цам,,браслет,ÁК/А,äᵑgä,äᵑgä,браслет,цеп,браслет,ака2,кваркъен,кваркъен,,это аварское,,да,кваркъен,"кваркъен подтверждает, но твердый",,корхьен,,,,,,квакъе,,,,,,кваркъим,кванкъил,,"да, и цепочка, браслет",кванкъил,,,да,кванкъил
одежда,the clothing or clothes,,"malaabis, libaas, θiyaab",,"валыг, валыгмар",валыгмар,валыг,валыгмар,валыг,залык,валыгмар,валыг,валыг,валыг,валыгмар,paltar,"опуракъ, гийим","гинибашар (уст.), либас, партал, пек (диал.)",пекер,партал,партал,карби,пекер,пекер,"пек, партал",пекер,одежда,шекьу,ɬic’o,ɬic’o,шекьу,шекьу,шекьу,"порма; ретIел, шекьу, шекьу-бокьу",их1рам,рак1яр,,да,рак1яр,да,рак1яр,да,рак1яр,жила,,шишакье,,да,шишакье,,,,,,,гъвáрза,гъваза,,,,да,гъваза,да,гъваза
пещера,the cave,,"kahf, ghaar",,0,0,0,0,фан,гуй,уби,шам,хъам,0,0,mağara,анакъ,"дагьар, кьвет1",къап,къугъли,къугъли,къугъли,къап,къап,мугъара,0,пещера,ИНХ/У,onox,onox,0,инху,пещера,инху,,,,речча,,да,речча,,,,,,,,,,,,,да,речча,рýщIа,реч1а,,,,"нохъо (ав), реч1а подтвердил",,"реч1а, нохъо подтвердила","нохъо (ав), реч1а подтвердил"
тело,the body,tan,"jism, jasad",,0,джан,джан,джан,0,чандахъ,джан,беден,беден,джандахъ,беден,bədən,къаркъара,"беден, жасад (редк.), жендек","беден, жасад (редк.), жендек","джан, беден",джан,джандахъ,"беден, чан",чан,"жандак, чан",чан,тело,гьиро,q’arq’ala,магъу,лаги,лага,лага,"къаркъала // къваркъала, къулагIи, лага","лага, черххе","къаркъала (лага рост, лага черххе вместе)",,да,"къаркъала (лага рост, лага черххе вместе)",къаркъала,,черххе,,къаркъала,,къакъала,,да,къакъала,,,,,,,"къаркъáла, лáга","къаркъала (ав), лага подтвердил)",,"къакъала, лага",,къаркъала,,да,къаркъала
год,the year,sal,"sanah, 'aam",,0,сен,сен,сен,сен,сен,сен,сен,сен,сен,сен,il,йыл,йис,йис,сен,сень,сень,йюс,йис,йис,йис,год,ЛIАIБ,ƛi,ƛi,л1а1б,ЛIАIБ,ЛIАIБ,лIебу2,решин,решин,,да,решин,да,решин,да,решин,релъин,,реше,,реше,,,,да,реше,,,реш,решин,,да,решин,да,решин,да,решин
метла,the broom,,"miknasah, miqashah",,"хьырыс, мугул, макьа1кьа1л",мугул,хьырыс,мугул,мугул,мугул,хьырыс,мугул,мугул,"мугул, хьырыс",хьырыс,süpürgə,сибиртки,кул,кул,хьырыс,хьырыс,ч1ахь,кул,кул,кул,,метла,МЕШ,müš,müš,меш,меш,меш,мос,хъарт1а,эрхьу,,оба есть,,"эрхьу веник, хъарт1а метла",,"эрхьу (веник), хъарт1а большая",,хъорт1а,,квач1и,,да,квач1и,,,,,,,хъвáНтIа,эхьв,,,,да,эхьв,да,эхьв
вор,the thief,dozd,"saariq, sarraaq, liss",,"дагулчи, сырыхчи",сырыхчи,сырыхчи,къачах,сырыхчей,качах,сырыхчи,сырыхчи,убулчи/сырыхчи,0,къачах,oğru,уручу,УГЪРИ,къачах,сихнари,сихнари,сихнари,къачах,къачах,"къачах, чунуьхбангат",угъри,вор,ОКIЕКIНÁКI/У,c’ohor,c’ohor,ц1огьор,ц1огьор,ц1огьор,"икIекIнакIу, кьакьахъу, кьакьахъу-рекIве, цIогьор",ц1ц1огьор,ц1огьор,,да,ц1огьор,да,ц1огьор,да,ц1огьор,ц1огьор,,мишухъа,,мишухъхъа,,,,да,мишухъхъа,,,Čогьóр,ц1огьор,,да,ц1огьор,да,ц1огьор,да,ц1огьор
борода,the beard,,lihyah,,мичри,мич1ре,мич1ре,мыч1ри,мычре,мичри,мыч1ре,мыч1ри,мыч1ре,мич1ир,мыч1ри,saqqal,сакъал,ЧУРУ,чири,сахъал,сахъал,сахъал,чири,чири,чуруь,чири,борода,МЕШÓЛГ/А,bab,bab,к1ут1у,МЕШÓЛГ/А,МЕШÓЛГ/А,"баб, мошолкIа // бошолкIа, котIу",мигаж,мигаж,,да,мигаж,да,мигаж,да,мигаж,мигяж,,,,мижелълъу,,да,мижелълъу,,,,,0,мигаж,,да,мигаж,да,мигаж,да,мигаж
гребень; расческа,the comb,,mosht,,раIгъ,ра1гъ,ра1гъ,ра1гъ,ра1гъ,рагъ,ра1гъ,ра1гъ,ра1гъ,ра1гъ,ра1гъ,yal,таракъ,"ЖГЪА, РЕГЪ","ЖГЪА, РЕГЪ",агъа,агъа,агъа,рягъ,рягъ,рягъ,,гребень; расческа,гьилIу,0,гьилIу,гьилIу,гьилIу,гьилIу,гьилIу,"гьакьу, хъуНдоб, хабалъо-гькьу  - чесалка",гьакьу,,гьакьу,,гьакьу,,гьакьу,,гьакьу (также семь),,акьу,,да,акьу,,,да,акьу,,,гьакьв,гьакь,,да,гьакь,да,гьакь,да,гьакь
молния,the lightning,,barq,,ц1ай рапын,ц1ый,ц1арап1ара,хал урхара,илдырым,царапара,цай рапара,ц1ай рапын,ц1ай рапын,ц1ай рапын,цай рапан,ildırım,яшмын,ц1айлапан,ц1айлапан,ердылым,зинжир,хай багъалты,ц1айлапан,ц1алапан,ц1айлапан,,молния,МÁКЪЛI/У,kayƛoyo,kayƛoyo,МÁКЪЛI/У,х1ух1удари,МÁКЪЛI/У,макълIу,пире,пире,,пире,,да,пире,пире,,пири,,,,пири,,,,,,,,пардáкь,"ц1ай рекур, пирк1еч1ир",,,,"пир, пир к1еч1ир",,реше пардоб,
оса,the wasp,,zinbaar,,цIаркIымакь,0,ц1иймак1,хингул,ц1ихьил макь,цид махъ,ч1ирид гъуба,ч1ирид гъуба,ч1ийидгъуба,цIыркIымакь,цырк1имак1,arı,телижибин,хуз,ц1уь,ножь,0,т1от1,ц1уь,ц1угъ,ц1уьгъ,,оса,0,ƛordena,ƛordena,бил1ол1у,т1ут1,хут1и,тетена,ц1ц1уНц1ц1упера,да,ц1ц1уНц1ц1упера,да,ц1ц1уНц1ц1упера,да,ц1ц1уНц1ц1упера,ц1унц1упера,,по-другому,,кьижвала,,кьижвара,,,,,,,,кьижва,шайт1ани пера,,,,да,шайт1ани пера,г1алхул пера,
"лук (оружие), стрела",the bow,,qaws,,еюх,0,яюх,яюх,каркач,"яюх, каракац",ейъух,ейъух,ейъух,еъух,ейъух,na,"жая, къазарху",NA,ч1имирухъ,0,чартма,0,ч1емерухъ,ч1емерухъ,ч1емерухъ,ч1емелукь,лук (оружие),#N/A,0,ц1унц1а,0,ЦIЕРУЦI/А,ЦIЕРУЦI/А,#N/A,#N/A,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,цIt,#N/A,,#N/A,,#N/A,бергьунц1уль,#N/A,
сова,the owl,,"boom (coll.), boomah(sing.)",,тIыб,0,т1ыб,т1ыб,т1ыб,т1ыб,т1ыб,т1ыб,т1ыб,т1ыла,т1ыб,bayquş,"кикимав, обуръябалакъ",байкъуш,к1иб,байгъуш,байгъуш,байгъуш,к1иб,к1иб,гумбат,циб,сова,КЪÁIД/О,ruz,руз,КЪÁIД/О,КЪÁIД/О,КЪÁIД/О,"бугьу, руз",рузе,бугьу (рузе филин),,бугьу,,рузе,,да,рузе,"бугьу, рузу (аварское)",,руз,,"руз аварское, мб буссе?",,,,,,,,бугь,руз,,руз,,руз,,да,руз
веревка,the rope,,habal,,"ухур, кендир",т1уъу,ухур,ухур,т1уъу,ухв,"гьаван, ч1ий",гьаван,0,ухур,тукъ,kəndir,"йип, аркъан",еб,"ц1ил, хвал",т1у1,т1у1,т1у,"ц1ил, хвал",ц1ил,"хал, ц1ил",,веревка,роч,0,савали,муху,муху,муху,"бацIали, роч, тIиган, чIелу // чIилу",кару,кару,,да,кару,да,кару,да,кару,кору,,,,квари,,,,да,квари,,,квар,квар,,да,квар,да,квар,да,квар
крапива,the nettle,,qarraas,,магъвал,макъвал,макъвал,макъвал,макъвал,макъвал,магъвал,магъвал,макъвал,макъвал,макъвал,gicitkən,къычыткъан,верг,верг,магъва,магъва,магъвал,верг,верг,верг,верг,крапива,мечā,mic (2),mic (2),мечā,мечā,мечā,меча,мич1и,мич1ч1и,,да,мич1ч1и,да,мич1ч1и,да,мич1ч1и,ч1еру,,миц1и,,да,миц1и,,,,,,,мищI,ч1ер,,да,ч1ер,да,ч1ер,да,ч1ер
рыба,the fish,,"samak (coll.), samakah (sing.)",,балугъ,балугъ,балугъ,балугъ,балугъ,балугъ,балугъ,балугъ,балугъ,балугъ,балугъ,balıq,балыкъ,"к1езри, гъед",балугъ,балугъ,балугъ,балугъ,балугъ,балугъ,балугъ,,рыба,БЕСУР/О,bisa,bisa,БЕСУР/О,БЕСУР/О,БЕСУР/О,бесуре,ччуг1а,да,ччуг1а,да,ччуг1а,да,ччуг1а,да,ччуг1а,ччуг1а,,чуг1а,,да,чуг1а,,,,,,,"щвā - крупная, морская, щвáНшкIа",щваг1а,,,,щваг1а,,да,щваг1а
заяц,the hare,,arnab,,гъыIр,гъы1рь,гъы1р,гъы1р,гъыIр,гъы1р,гъы1д,гъы1д,хы1р,гъы1р,гъы1р,dovşan,"къоян, тавшан",къуьр,къуьр,гъыйе,гъыйе,гъый,къуьр,къуьр,къуьр,,заяц,ХЪАI,qiyalat’o,qiyalat’o,ХЪАI,ХЪАI,ХЪАI,хъе,кьаНк1ала,да,кьаНк1ала,к1анкьала,,да (иногда говорят кьанкьала),к1анкьала,да,к1анкьала,кьенк1яла,,кьак1а,,да,кьак1а,,,да,кьак1а,,,кьеНчIéл,кьанк1ал,,да,кьанк1ал,да,кьанк1ал,да,кьанк1ал
бабочка,the butterfly,,faraashah,,"деб-дебил, перване",деб-дебил,пирваъани,пирваъани,ц1ыц1,кирвани,дебебил,т1еб дебил,т1ебебил,бебил,0,kəpənək,гюмелек,чепелукь,?,гакъабай,гакъабай,гакъабай,первайнай,перванат,чупанукь,,бабочка,шайтIанес кидила бабочка (букв. кукла чёрта),päpät’ö,päpät’ö,къандули,къандули,къандило,папатIу,дидин,дидин,,да,дидин,да,дидин,да,дидин,рик1уч1ел,,"ни то, ни другое",,к1ужара,,да,к1ужара,,,,,кIáркIима,к1алак1ачва,,да,к1алак1ачва,да,к1алак1ачва,да,к1алак1ачва
след (ноги),the footprint,,iθr,,"хьаIль, лышан",хьыль,хьал,хьал,хьаIл,0,хьаIл,хылид т1ум,хьал,рахъ,хьыль,izi,гьыз,гел,хьел,гов,гов,гов,хьел,хьель,хьел,0,след (ноги),РУГЪ/У,0,аНж,ругъу,ругъу,ругъу,лугъу,лъалда,да,лъалда,да,лъалда,"лъалда, лъале",,лъалда,,лъали,,лъак1и,,лъали (лъак1и может быть ошибка),,,,,,,,гьал,"лъак1, гьаль подтвердил",,гьаль,,"анж, лъалк1",,гьаль (как горох),
гнездо,the nest,,ush,,0,ыкъваль,фар,фар,шейдид  фар,хва,эку,эку,0,акъу,акъвал,уя?,уя,МУГ,МУГ,юва,юва,юва,муг,муг,муг,,гнездо,МУЖ/И,sĩ (1),sĩnaq,агъыс вотк1у,мужи,агъис мужи,мужи,берхьван,берхьван,,мисиа (птичий дом),,миса подтвержил,,птичий дом,,берхьван,,реше,,решва,,,,да,решва,,,чиНдв,бехьун,,да (птичья постель),бехьун,да,бехьун,шакол1 бегьун,
червяк,the worm,,"doud (coll.), douda (sing.)",,"барцIил, мулюх",мулюх,мулюх,мулюх,мулюх,мулюх,мулюхъ,мулюх,мулюхъ,мулюх,мулюхъ,qurd,хурт,квак,швар,быркъынеш,быркъынеш,мухъ,швар,швар,швар,швар,червяк,ацурйо,0,bet'eli,гъумели,гъумели,гъумели,"бика, буржула, хIапара, хIапара-хIутI, хIутI","берка, жи, х1апара, наац1е",жужука,,жужука - просто насекомое,,,,,,не помню,,бека (и змея тоже),,бека,,,,,,,,хIутI,берча (змея),,,,муко берча,,берча,
муравей,the ant,,"namlah, nammah",,дзыдза1хъ,дзыдзахъ,цахцар,цыхцар,дзы1хцар,цыцах,дзыдзах,дзыдзах,дзыдзах,дзыдзахъ,дзыдзах,qarışqa,къомурсгъа,цегв,цвез,симсири,симсири,симсири,цвез,цвез,цвез,,муравей,РЕЦÉНЙ/О,hũca,hũca,РЕЦÉНЙ/О,РЕЦÉНЙ/О,РЕЦÉНЙ/О,рецен,лъарц1ц1е,да,лъарц1ц1е,да,лъарц1ц1е,да,лъарц1ц1е,да,лъарц1ц1е,к1к1ара (непонятный звук),,ц1уц1ра,,ККари,,,,,,,,жуНж,гьарц1а,,,,да,гьарц1а,х1ац1а,
хвост,the tail,,"ðeil, ðanab, aaliyah",,джибыр,джибыр,джибыр,джибыр,джибыр,джибыр,джибыр,джибыр,джибыр,джибыр,джибыр,quyruq,къуйрукъ,тум,тум,быть,быть,быть,тум,тум,тум,тум,хвост,МÁХI/И,miɣ,miɣ,мах1и,мах1и,мах1и,мигьи1,"мигъа, рач1ч1ел",мигъа,,да,мигъа,да,мигъа,да,мигъа,мигъа,,калълъи,,подтвердил,калълъи,,,,,,,мигъа,мигьа,,мигъа,,да,мигъа,да,мигъа
крыло (или перо),the wing,,janaah,,"къанат, кыли",хыли,къанат,къанат,къанат,къанат,къанат,къанат,къанат,хьыли,хыли,qanad,къанат,лув,лув,къанат,къанат,къанат,лув,лув,лув,,крыло,#N/A,#N/A,habo,лела,лела,лел,#N/A,#N/A,#N/A,лъиру,#N/A,лъиру,#N/A,лъиру,#N/A,лъиру,#N/A,,#N/A,,#N/A,лъиро,#N/A,,#N/A,,#N/A,,гьилв,#N/A,,#N/A,,#N/A,,#N/A,
тень,the shade or shadow,,ðell,,"аIхъ, серинды, мычIахъвалды",а1хъ,а1хъ,а1хъ,а1хъ,а1хъ,а1хъ,а1хъ,а1хъ,а1хъ,а1хъ,kölgə,гёлентки,куьлге,?декъен,ахъ,ахъ,ахъ,ахъев,ахъен,эхъен,,тень,гъеду,hidoci,hidoci,гъеду,гъеду,гъеду,гъеду,аНччу,да,аНччу,да,аНччу,да,аНччу,да,аНччу,анчва,,гьугьу,,"да, с назализацией",гьугьу,,,,,,,аНщв,к1аншва,,к1аншо (также ящерица),,к1аншо,,да,к1аншо
кузнечик,the grasshopper,,"qubbout, jundub",,ц1ыц1,0,ц1ай,ц1ай,ц1ыц1,масдыр ц1ай,ц1ыц1,ц1ыц1,ц1ыц1,ц1ыц1,ц1ыц1,çəyirtkə,увакъ ченгертки,NA,ц1ец1,ц1ыць,ц1ыць,ц1ыць,ц1ец1,ц1ыць,ц1ець,,кузнечик,ХÓЦI/У,xac’o,xac’o,хоц1и,хоци,хоци,хоцIе,гъац1а,да,гъац1а,да,гъац1а,да,гъац1а,да,гъац1а,да,гъац1а,гьац1а,,да,гьац1а,,,,,,,гъáцIа,гъанц1а,,подтвердила,гъанц1а,да,гъанц1а,да,подтвердила
воск (пчелиный),the beeswax,,sham',,мум,0,мым,мым,мым,мым,мым,мылах,мым,мым,мум,mum,балавуз,мум,мум,мух,мух,мух,мум,шам,шам,0,воск (пчелиный),ХIЕ,0,0,х1е,х1е,0,хIе,щиру,щиру,,да,щиру,да,щиру,да,щиру,х1еру,,гъане,,да,гъане,,,да,гъане,,,щирв,щер,,да,щер,да,щер,да,щер
песок (строительный),the sand,,raml,,"къум, сецI",сец1,къум,къум,къум,хъум,"сец1, къум",къум,къум,сец1,сец1,qum,"хум, къайыр",къун,суьт,къум,къум,сец1,суьт,суьт,къам,свет,песок (строительный),ГИБ/У,0,mizo,песок,песок,песок,мессе,соро,да,соро,да,соро,да,соро,п,соро,сали,,сали,,песоки,,,,,,,,сел / селв,сер,,,,да,сер,сер,
мозоль,the blister,,mismaar,,т1ур,гъыдигъ,ныц1,ныц1,ныц1,ныц1,парахъур,?,гъеди?,гъеди,гъе1де1гъ,qarğıdalı,къатыв,къабар,кыркыр,кабар,кабар,0,кыркыр,кыркыр,куркур,,мозоль,ПУЛ,ɬīs momola,момола,0,мозоль,0,"билла, земеза","гьаНк1ва, пиНкьа",пинкьа,,пинкьа,,п,пинкьа,пинкье,,мозоль,,гьими,,гене,,,,,,,,руČ,"пуль, (труба тоже)",,,,да,"пуль, (труба тоже)",да,"пуль, (труба тоже)"
яйцо,the egg,,beydh,,0,гъылыгъ,гъылыгъ,гъылыгъ,гъылыгъ,гъылыгъ,гъылыгъ,гъылыгъ,гъулугъ,гъылыгъ,гъылыгъ,yumurta,йымырткъа,кака,кака,кьукь,кьукь,кьукь,кака,кака,кака,,яйцо,КIЕНÉЧI,c’emuc’,c’emuc’,КIЕНÉЧI,КIЕНÉЧI,КIЕНÉЧI,къимацI,к1арк1ан,да,к1арк1ан,да,к1арк1ан,да,к1арк1ан,да,к1арк1ан,гьану,,кану,,хъану,,,,,,,,чIачIáн,ч1еч1ен,,ч1еч1ен,,ч1еч1ан,,ч1еч1ен,
губа,the lip,,shafah,,букI,"бук1, п1ыз",бук1быр,п1ыз,п1ыз,п1ыз,п1ыз,бук1быр,п1ыз,п1ыз,бук1быр,dodaq,эрин,ПIУЗ,ПIУЗ,п1ыз,п1ыз,п1ыз,п1уз,п1уз,п1узар,пузар,губа,ГЬУТI,poro,poro,къеп1у,къеп1у,ГЬУТI,къепу,суНк1а,да,суНк1а,да,суНк1а,да,суНк1а,да,суНк1а,сими,,шеме,,да,шеме,,,да,шеме,,,сим,к1от1и (губы),,да,к1от1и (губы),да,к1от1и (губы),к1от1,
"дрова, топливо, древесина",the firewood,,hatab,,усбыр,усбыр,усбыр,усбыр,усбыр,ус,усбыр,ус,усбыр,ус,усбыр,odun,агъач,КIАРАСАР,КIАРАСАР,осби,осби,осби,к1арас,к1арасар,к1арацсар,,"дрова, топливо",#N/A,0,удо,хъаца,хъац1а,хъац1а,#N/A,#N/A,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,гьур,#N/A,,#N/A,,#N/A,,#N/A,
куропатка,the partridge,,hajalah,,гъуьд,гъуд,гъуьд,сывыды къат1,гъуьдь,гъуд,гъудь,гъу1д,гъу1д,гъудь,гъу1дь,kəklik,къыр тавукъ,къвед,къвед,гъун,гъун,0,къвед,къвед,къвед,,куропатка,КЪОКЪÓТI/У,0,гъуьда,0,КЪОКЪÓТI/У,агъи,гъогъ,гъавгъва,гъавгъа,,да,гъавгъа,п,гъавгъа,да,гъавгъа,гъагъиба,,гъагъиба,,?,,,,,,,,гъáгъа,,,,,гъагъва,,подтвердила,гъагъва
рукав,the sleeve,,"far', kumm",,хулук,хулук,хулук,хулук,хулук,хулук,хулук,хулук,хулук,хулук,хулук,qol,енг,хел,хел,хьуль,хали,хук,хел,хим,хел,,рукав,кулъа,0,гьикьа,кулъа,кулъа,0,"мецу, рекьа",кваха,да,кваха,да,кваха,да,кваха,да,кваха,кохил,,квакье,,кваххе (квакье неправильно),,,,,,,,квахил,,,,,квагьа,,кваНхиль,